장소명,도로명주소,위도,경도,수정일시,지번주소
하우목동포구,제주특별자치도 서귀포시 성산등용로 112-7,33.5093925,126.9423248,2025-09-18 15:34,제주특별자치도 서귀포시 성산읍 성산리 347-9
렌트카반납,제주특별자치도 제주시 서해안로 687-6,33.5159432,126.5032261,2025-09-18 14:10,제주특별자치도 제주시 용담2동 1032-4
대구공항,대구광역시 동구 공항로 221 대국국제공항,35.8998837,128.6373515,2025-09-18 14:11,대구광역시 동구 지저동 400-5
사려니숲길,제주특별자치도 제주시 명림로 584 절물휴양림,33.422483,126.62577,2025-09-18 14:19,제주특별자치도 제주시 봉개동 산78-1
칠돈가,제주특별자치도 서귀포시 민속해안로 537,33.3236651,126.8453101,2025-09-18 17:40,제주특별자치도 서귀포시 표선면 표선리 40-69
김녕해수욕장,,33.5527285,126.7588971,2025-09-18 12:22,제주특별자치도 제주시 오라동 34-14
메이즈랜드,,33.4864796,126.8017427,2025-09-18 12:24,제주특별자치도 제주시 오라동 34-14
제주국제공항,제주특별자치도 제주시 공항로 2,33.5064296,126.4927307,2025-09-18 11:24,제주특별자치도 제주시 용담2동 2002
포시즌랜트카,제주특별자치도 제주시 다호북길 150,33.5030964,126.4823206,2025-09-18 11:25,제주특별자치도 제주시 도두동 968-1
숙소(아일랜드힐),제주특별자치도 서귀포시 일주서로2842번길 42-9,33.2442476,126.234277,2025-09-18 11:23,제주특별자치도 서귀포시 대정읍 일과리 962-3
해모랏펜션,제주특별자치도 서귀포시 환해장성로 797,33.4231941,126.9137815,2025-09-18 12:54,제주특별자치도 서귀포시 성산읍 온평리 1
모다정,제주특별자치도 서귀포시 성산중앙로37번길 9,33.4636323,126.932403,2025-09-18 13:29,제주특별자치도 서귀포시 성산읍 성산리 180-5
라이트아트페스타,제주특별자치도 서귀포시 성산중앙로37번길 9,33.487212,126.7068384,2025-09-18 14:47,대한민국
우도섬,,33.5004098,126.9550213,2025-09-18 15:05,제주특별자치도 제주시 우도면 연평리 1549
곽지한담산책로,,33.4478364,126.3065398,2025-09-18 17:36,제주특별자치도 제주시 애월읍 곽지리 2495
롯데마트,제주특별자치도 제주시 연북로 1 롯데마트,33.4822791,126.4826339,2025-09-18 16:01,제주특별자치도 제주시 노형동 708-3
함덕해수욕장,,33.5366331,126.6694273,2025-09-18 00:12,제주특별자치도 제주시 도두동 131-2
협재 한량,제주특별자치도 제주시 한림읍 한림해안로 289 한림빌라,33.4267522,126.2638131,2025-09-18 15:37,제주특별자치도 제주시 한림읍 수원리 950-5
운정이네본점,,33.2634596,126.437676,2025-09-18 18:45,제주특별자치도 서귀포시 중문동 1239-3
오아시스펜션,제주특별자치도 서귀포시 예래로68번길 107 중문오아시스펜션,33.2626853,126.3966768,2025-09-18 18:48,제주특별자치도 서귀포시 예래동 205-1
제주국제공항,제주특별자치도 제주시 삼무로 76,33.4896201,126.4946325,2025-09-18 09:21,제주특별자치도 제주시 연동 292-27
공항,제주특별자치도 제주시 공항로 2,33.5068028,126.492803,2025-09-18 23:12,제주특별자치도 제주시 용담2동 2002
모립 까페,제주특별자치도 제주시 애월읍 애월로1길 26-7,33.4629863,126.3097878,2025-09-18 10:32,제주특별자치도 제주시 애월읍 애월리 2537
오라동 청보리 메밀꽃밭,제주특별자치도 제주시 공항로 2,33.4230803,126.5052134,2025-09-18 19:29,제주특별자치도 제주시 오라동 산76-2
카페 ORDA,제주특별자치도 서귀포시 성산읍 한도로 269-37,33.4688992,126.9354485,2025-09-18 10:46,제주특별자치도 서귀포시 성산읍 성산리 308
브라운스위트,제주특별자치도 서귀포시 성산읍 고성오조로 94 디아일랜드 마리나 호텔,33.4520244,126.9145253,2025-09-18 11:10,제주특별자치도 서귀포시 성산읍 고성리 1201
성이시돌,제주특별자치도 제주시 한림읍 새미소길 8,33.3471973,126.3229466,2025-09-18 19:23,제주특별자치도 제주시 한림읍 금악리 144
제주공항,제주특별자치도 제주시 신대로16길 29,33.4867265,126.4935504,2025-09-18 08:56,제주특별자치도 제주시 연동 293-79
이호테후 해수욕장,제주특별자치도 제주시 공항로 2,33.4958848,126.4528828,2025-09-18 19:26,제주특별자치도 제주시 이호동 1662
카멜리아힐,제주특별자치도 제주시 공항로 2,33.2883143,126.3702294,2025-09-18 19:31,제주특별자치도 서귀포시 안덕면 상창리 275
dldldldl,,33.3623557,126.3814832,2025-09-18 17:15,제주특별자치도 제주시 애월읍 봉성리 산41
공항,제주특별자치도 제주시 공항로 2,33.5079551,126.4919266,2025-09-18 15:01,제주특별자치도 제주시 용담2동 2002
바당언덕(숙소) ,제주특별자치도 서귀포시 서리오름로 191-12,33.2581267,126.6042712,2025-09-18 19:03,제주특별자치도 서귀포시 효돈동 1045-4
제주웥터서커스,제주특별자치도 서귀포시 효돈로79번길 4,33.4232239,126.7435733,2025-09-18 19:27,제주특별자치도 서귀포시 효돈동 1163
산이물식당(고등어조림 회 장어구이 등),제주특별자치도 서귀포시 형제해안로 306,33.2077903,126.2911826,2025-09-18 19:53,제주특별자치도 서귀포시 대정읍 상모리 130
제주공항,제주특별자치도 제주시 공항로 2,33.5022971,126.4946104,2025-09-18 02:19,제주특별자치도 제주시 용담2동 1923
두근두근공항도착,,33.4949333,126.4948058,2025-09-18 02:51,제주특별자치도 제주시 연동 1934-4
항공우주박물관,제주특별자치도 서귀포시 안덕면 녹차분재로 218 제주항공우주박물관,33.3042255,126.3000669,2025-09-18 20:14,제주특별자치도 서귀포시 안덕면 서광리 산39
마라도,제주특별자치도 서귀포시 안덕면 녹차분재로 218 제주항공우주박물관,33.1220261,126.2701723,2025-09-18 20:18,제주특별자치도 서귀포시 대정읍 가파리
다이나믹메이즈,제주특별자치도 서귀포시 표선면 번영로 2644 트릭아트뮤지엄,33.3990554,126.7854426,2025-09-18 20:24,제주특별자치도 서귀포시 표선면 성읍리 2381
유리의성,제주특별자치도 제주시 한경면 녹차분재로 462 유리의 성,33.3147643,126.274476,2025-09-18 20:33,제주특별자치도 제주시 한경면 저지리 3135-1
놀멘,제주특별자치도 제주시 애월로1길 24,33.4624613,126.3101576,2025-09-18 14:23,제주특별자치도 제주시 애월읍 애월리 2530
숙소,제주특별자치도 서귀포시 위미중앙로225번길 8,33.2730985,126.6657905,2025-09-18 14:50,제주특별자치도 서귀포시 남원읍 위미리 1818
