년도,격자코드,구분,총인구
2024,다라000177,to_in_001,0
2024,다라000181,to_in_001,8
2024,다라000182,to_in_001,5
2024,다라000316,to_in_001,5
2024,다라000317,to_in_001,8
2024,다라000318,to_in_001,13
2024,다라000319,to_in_001,8
2024,다라000320,to_in_001,13
2024,다라000326,to_in_001,0
2024,다라000395,to_in_001,5
2024,다라000446,to_in_001,5
2024,다라000447,to_in_001,13
2024,다라000449,to_in_001,38
2024,다라000450,to_in_001,86
2024,다라000452,to_in_001,321
2024,다라000453,to_in_001,713
2024,다라000454,to_in_001,247
2024,다라000455,to_in_001,218
2024,다라000456,to_in_001,582
2024,다라000457,to_in_001,366
2024,다라000458,to_in_001,1029
2024,다라000459,to_in_001,301
2024,다라000460,to_in_001,292
2024,다라000461,to_in_001,38
2024,다라000462,to_in_001,241
2024,다라000463,to_in_001,60
2024,다라000464,to_in_001,99
2024,다라000465,to_in_001,8
2024,다라000508,to_in_001,0
2024,다라000509,to_in_001,5
2024,다라000510,to_in_001,5
2024,다라000511,to_in_001,5
2024,다라000514,to_in_001,5
2024,다라000515,to_in_001,5
2024,다라000517,to_in_001,0
2024,다라000518,to_in_001,13
2024,다라000519,to_in_001,5
2024,다라000520,to_in_001,5
2024,다라000521,to_in_001,8
2024,다라000522,to_in_001,8
2024,다라000523,to_in_001,5
2024,다라000524,to_in_001,8
2024,다라000528,to_in_001,5
2024,다라000536,to_in_001,0
2024,다라000570,to_in_001,5
2024,다라000579,to_in_001,5
2024,다라000580,to_in_001,5
2024,다라000581,to_in_001,18
2024,다라000585,to_in_001,5
2024,다라000586,to_in_001,5
2024,다라000609,to_in_001,0
2024,다라000611,to_in_001,0
2024,다라000619,to_in_001,0
2024,다라000621,to_in_001,5
2024,다라000622,to_in_001,23
2024,다라000623,to_in_001,13
2024,다라000626,to_in_001,5
2024,다라000627,to_in_001,5
2024,다라000681,to_in_001,8
2024,다라000691,to_in_001,5
2024,다라000692,to_in_001,5
2024,다라000694,to_in_001,5
2024,다라000705,to_in_001,5
2024,다라000707,to_in_001,8
2024,다라000745,to_in_001,0
2024,다라000829,to_in_001,5
2024,다라000830,to_in_001,8
2024,다라000831,to_in_001,8
2024,다라000862,to_in_001,5
2024,다라000867,to_in_001,5
2024,다라000868,to_in_001,8
2024,다라000889,to_in_001,5
2024,다라000890,to_in_001,0
2024,다라000896,to_in_001,0
2024,다라000897,to_in_001,8
2024,다라000898,to_in_001,5
2024,다라000899,to_in_001,5
2024,다라000925,to_in_001,8
2024,다라000927,to_in_001,8
2024,다라000929,to_in_001,5
2024,다라000936,to_in_001,5
2024,다라000937,to_in_001,8
2024,다라000938,to_in_001,8
2024,다라000950,to_in_001,0
2024,다라000951,to_in_001,0
2024,다라000981,to_in_001,5
2024,다라000982,to_in_001,8
2024,다라000991,to_in_001,5
2024,다라000994,to_in_001,5
2024,다라000995,to_in_001,5
2024,다라000996,to_in_001,0
2024,다라001181,to_in_001,5
2024,다라001182,to_in_001,5
2024,다라001210,to_in_001,5
2024,다라001211,to_in_001,5
2024,다라001316,to_in_001,5
2024,다라001317,to_in_001,5
2024,다라001318,to_in_001,8
2024,다라001319,to_in_001,8
2024,다라001326,to_in_001,5
2024,다라001395,to_in_001,0
2024,다라001399,to_in_001,5
2024,다라001400,to_in_001,13
2024,다라001404,to_in_001,8
2024,다라001405,to_in_001,5
2024,다라001451,to_in_001,51
2024,다라001452,to_in_001,5
2024,다라001454,to_in_001,8
2024,다라001456,to_in_001,5
2024,다라001457,to_in_001,33
2024,다라001458,to_in_001,516
2024,다라001459,to_in_001,834
2024,다라001460,to_in_001,499
2024,다라001461,to_in_001,58
2024,다라001462,to_in_001,226
2024,다라001463,to_in_001,81
