연도,GRID_CD,STAT_CODE,POP
2024,다라0007,to_in_001,152
2024,다라0017,to_in_001,0
2024,다라0018,to_in_001,28
2024,다라0019,to_in_001,8
2024,다라0020,to_in_001,243
2024,다라0021,to_in_001,38
2024,다라0022,to_in_001,0
2024,다라0023,to_in_001,8
2024,다라0030,to_in_001,13
2024,다라0031,to_in_001,88
2024,다라0032,to_in_001,23
2024,다라0039,to_in_001,48
2024,다라0040,to_in_001,123
2024,다라0041,to_in_001,51
2024,다라0042,to_in_001,8
2024,다라0044,to_in_001,73
2024,다라0045,to_in_001,6924
2024,다라0046,to_in_001,5466
2024,다라0047,to_in_001,4734
2024,다라0048,to_in_001,1770
2024,다라0049,to_in_001,670
2024,다라0050,to_in_001,133
2024,다라0051,to_in_001,219
2024,다라0052,to_in_001,83
2024,다라0053,to_in_001,183
2024,다라0054,to_in_001,18
2024,다라0056,to_in_001,28
2024,다라0057,to_in_001,53
2024,다라0058,to_in_001,83
2024,다라0059,to_in_001,18
2024,다라0060,to_in_001,68
2024,다라0061,to_in_001,93
2024,다라0062,to_in_001,134
2024,다라0063,to_in_001,13
2024,다라0067,to_in_001,48
2024,다라0068,to_in_001,74
2024,다라0069,to_in_001,123
2024,다라0070,to_in_001,238
2024,다라0074,to_in_001,18
2024,다라0082,to_in_001,5
2024,다라0083,to_in_001,98
2024,다라0084,to_in_001,58
2024,다라0085,to_in_001,73
2024,다라0086,to_in_001,63
2024,다라0087,to_in_001,13
2024,다라0088,to_in_001,5
2024,다라0089,to_in_001,53
2024,다라0090,to_in_001,0
2024,다라0092,to_in_001,113
2024,다라0093,to_in_001,33
2024,다라0095,to_in_001,133
2024,다라0096,to_in_001,108
2024,다라0098,to_in_001,28
2024,다라0099,to_in_001,113
2024,다라0105,to_in_001,5
2024,다라0119,to_in_001,38
2024,다라0120,to_in_001,178
2024,다라0121,to_in_001,68
2024,다라0122,to_in_001,28
2024,다라0128,to_in_001,128
2024,다라0129,to_in_001,63
2024,다라0130,to_in_001,163
2024,다라0131,to_in_001,103
2024,다라0132,to_in_001,68
2024,다라0139,to_in_001,68
2024,다라0140,to_in_001,99
2024,다라0141,to_in_001,214
2024,다라0142,to_in_001,63
2024,다라0144,to_in_001,116
2024,다라0145,to_in_001,12819
2024,다라0146,to_in_001,14244
2024,다라0147,to_in_001,16885
2024,다라0148,to_in_001,5057
2024,다라0149,to_in_001,1630
2024,다라0150,to_in_001,153
2024,다라0151,to_in_001,118
2024,다라0152,to_in_001,129
2024,다라0153,to_in_001,183
2024,다라0154,to_in_001,128
2024,다라0155,to_in_001,78
2024,다라0156,to_in_001,60
2024,다라0157,to_in_001,718
2024,다라0158,to_in_001,227
