결과,시도,시군구,보건기관명,상위기관명,기관유형,대표 전화번호,주소,홈페이지 주소,X좌표,Y좌표,집계구코드,읍면동
O,서울특별시,종로구,종로구보건소,,보건소,02-2148-3514,"서울특별시 종로구 자하문로19길 36 (옥인동, 종로구보건소, 청운효자동자치회관) 1~4층",https://www.jongno.go.kr/healthMain.do,953137.188013099,1953737.49091293,11010720020004,서울특별시_종로구_청운효자동
O,서울특별시,중구,서울중구보건소,,보건소,02-3396-6302,"서울특별시 중구 다산로39길 16 (무학동, 중구보건소) 중구보건소",http://www.junggu.seoul.kr/health/,957174.72899897,1951801.30599461,11020690030010,서울특별시_중구_신당동
O,서울특별시,용산구,용산구보건소,,보건소,02-2199-8350,"서울특별시 용산구 녹사평대로 150 (이태원동, 용산구종합행정타운) 1층 보건소 ",https://www.yongsan.go.kr/health/main/main.do,954979.732711967,1948269.76462624,11030650010005,서울특별시_용산구_이태원1동
O,서울특별시,성동구,성동구보건소,,보건소,02-2286-7115,"서울특별시 성동구 마장로23길 10 (홍익동, 성동구보건소) 성동구보건소",https://www.sd.go.kr/health/index.do,958777.425095632,1952069.71507403,11040710010005,서울특별시_성동구_왕십리도선동
O,서울특별시,광진구,광진구보건소,,보건소,02-450-1422,"서울특별시 광진구 아차산로 400 (자양동, 광진구청) 광진구보건소",https://www.gwangjin.go.kr/health/main/main.do,963579.08236287,1948631.50785181,11050650010001,서울특별시_광진구_자양2동
O,서울특별시,동대문구,동대문구보건소,,보건소,02-2127-5404,"서울특별시 동대문구 천호대로 145 (용두동, 동대문구청) 보건소",https://www.ddm.go.kr/health,959377.520004249,1952875.45325458,11060810010012,서울특별시_동대문구_용신동
O,서울특별시,중랑구,중랑구보건소,,보건소,02-2094-0114,"서울특별시 중랑구 봉화산로 179 (신내동, 중랑구청) 중랑구 보건소",https://www.jungnang.go.kr/health/main.do#,964041.422418022,1956421.0545566,11070700010001,서울특별시_중랑구_신내2동
O,서울특별시,성북구,성북구보건소,,보건소,02-2241-1749,"서울특별시 성북구 화랑로 63 (하월곡동, 성북구보건소) 성북구보건소",https://www.sb.go.kr/bogunso/mainPage.do,959353.282424395,1956026.75633428,11080720010004,서울특별시_성북구_월곡2동
O,서울특별시,강북구,강북구보건소,,보건소,02-901-7600,"서울특별시 강북구 한천로 897 (번동, 강북보건소,번2동 주민센터) 강북구보건소",https://www.gangbuk.go.kr/health/main/main.do,959303.038397842,1959311.25529981,11090610010014,서울특별시_강북구_번2동
O,서울특별시,도봉구,도봉구보건소,,보건소,02-2091-4600,"서울특별시 도봉구 방학로3길 117 (쌍문동, 도봉보건소) 도봉보건소",https://health.dobong.go.kr/,959322.206480913,1962148.07667686,11100520010011,서울특별시_도봉구_쌍문2동
O,서울특별시,노원구,노원구보건소,,보건소,02-2116-3115,"서울특별시 노원구 노해로 437 (상계동, 노원구청), 보건소 노원구보건소",https://www.nowon.kr/health,960921.732222268,1961770.65942867,11110770020001,서울특별시_노원구_상계6·7동
O,서울특별시,은평구,은평구보건소,,보건소,02-351-8114,"서울특별시 은평구 은평로 195 (녹번동, 은평구청), 은평구보건소 은평구보건소",https://www.ep.go.kr/health/index.do,949612.154134535,1956081.92240717,11120510010026,서울특별시_은평구_녹번동
O,서울특별시,서대문구,서대문구보건소,,보건소,02-330-1899,"서울특별시 서대문구 연희로 242 (연희동, 서대문구보건소), 서대문구청별관 서대문구보건소",https://www.sdm.go.kr/health/,950224.570863615,1953399.24830547,11130760010012,서울특별시_서대문구_연희동
O,서울특별시,마포구,마포구보건소,,보건소,02-3153-9114,"서울특별시 마포구 월드컵로 212 (성산동, 마포구청), 마포구보건소 마포구보건소",https://www.mapo.go.kr/site/health/home,947144.706189734,1952045.02068325,11140730020003,서울특별시_마포구_성산2동
O,서울특별시,양천구,양천구보건소,,보건소,02-2620-4340,"서울특별시 양천구 목동서로 339 (신정동, 양천보건소) 양천구보건소",https://www.yangcheon.go.kr/health/health/main.do,943965.10284353,1946665.72467311,11150690010101,서울특별시_양천구_신정6동
O,서울특별시,강서구,강서구보건소,,보건소,02-2600-5800,"서울특별시 강서구 공항대로 561 (염창동, 강서보건소) 강서구보건소",https://www.gangseo.seoul.kr/health/index,944198.414070165,1950220.94607094,11160510020005,서울특별시_강서구_염창동
O,서울특별시,구로구,구로구보건소,,보건소,02-860-2600,"서울특별시 구로구 구로중앙로28길 66 (구로동, 구로5동 주민센터, 구로구보건소) 구로보건소",https://www.guro.go.kr/health,946027.979933203,1944711.3244454,11170560030005,서울특별시_구로구_구로5동
O,서울특별시,금천구,금천구보건소,,보건소,02-2627-2421,"서울특별시 금천구 시흥대로73길 70 (시흥동, 금천구청종합청사), 금천구보건소 금천구보건소",https://www.geumcheon.go.kr/health/index.do,946583.397464371,1939880.20282369,11180570010003,서울특별시_금천구_시흥1동
O,서울특별시,영등포구,영등포구보건소,,보건소,02-2670-3114,"서울특별시 영등포구 당산로 123 (당산동3가, 영등포구청) 영등포구보건소",https://www.ydp.go.kr/health,946654.010685588,1947627.80252551,11190550030003,서울특별시_영등포구_당산1동
