field_1,field_2,field_3,field_4
"2024",다다0000,in_age_021,"5"
"2024",다다0200,in_age_021,"0"
"2024",다다0400,in_age_021,"5"
"2024",다다0401,in_age_021,"0"
"2024",다다0500,in_age_021,"5"
"2024",다다0600,in_age_021,"5"
"2024",다다0701,in_age_021,"0"
"2024",다다0702,in_age_021,"5"
"2024",다다0801,in_age_021,"5"
"2024",다다0802,in_age_021,"8"
"2024",다다0803,in_age_021,"0"
"2024",다다0900,in_age_021,"5"
"2024",다다0901,in_age_021,"5"
"2024",다다0902,in_age_021,"5"
"2024",다다1000,in_age_021,"5"
"2024",다다1001,in_age_021,"5"
"2024",다다1002,in_age_021,"5"
"2024",다다1003,in_age_021,"5"
"2024",다다1202,in_age_021,"5"
"2024",다다1303,in_age_021,"0"
"2024",다다1402,in_age_021,"5"
"2024",다다1403,in_age_021,"8"
"2024",다다1502,in_age_021,"5"
"2024",다다1504,in_age_021,"8"
"2024",다다1801,in_age_021,"5"
"2024",다다1905,in_age_021,"0"
"2024",다다2106,in_age_021,"5"
"2024",다다2199,in_age_021,"5"
"2024",다다2205,in_age_021,"5"
"2024",다다2400,in_age_021,"5"
"2024",다다2500,in_age_021,"0"
"2024",다다2502,in_age_021,"0"
"2024",다다2607,in_age_021,"0"
"2024",다다2799,in_age_021,"0"
"2024",다다2806,in_age_021,"5"
"2024",다다2992,in_age_021,"0"
"2024",다다3092,in_age_021,"5"
"2024",다다3191,in_age_021,"0"
"2024",다다3289,in_age_021,"0"
"2024",다다3398,in_age_021,"5"
"2024",다다3494,in_age_021,"0"
"2024",다다3903,in_age_021,"5"
"2024",다다4103,in_age_021,"0"
"2024",다다5794,in_age_021,"0"
"2024",다다5894,in_age_021,"5"
"2024",다라0045,in_age_021,"5"
"2024",다라0046,in_age_021,"0"
"2024",다라0047,in_age_021,"5"
"2024",다라0048,in_age_021,"0"
"2024",다라0049,in_age_021,"0"
"2024",다라0051,in_age_021,"0"
"2024",다라0069,in_age_021,"0"
"2024",다라0145,in_age_021,"0"
"2024",다라0146,in_age_021,"0"
"2024",다라0148,in_age_021,"0"
"2024",다라0149,in_age_021,"0"
"2024",다라0152,in_age_021,"0"
"2024",다라0158,in_age_021,"5"
"2024",다라0228,in_age_021,"0"
"2024",다라0245,in_age_021,"5"
"2024",다라0246,in_age_021,"5"
"2024",다라0247,in_age_021,"0"
"2024",다라0251,in_age_021,"0"
"2024",다라0257,in_age_021,"0"
"2024",다라0298,in_age_021,"0"
"2024",다라0346,in_age_021,"0"
"2024",다라0494,in_age_021,"5"
"2024",다라0545,in_age_021,"5"
"2024",다라0546,in_age_021,"0"
"2024",다라0574,in_age_021,"0"
"2024",다라0588,in_age_021,"0"
"2024",다라0652,in_age_021,"5"
"2024",다라0666,in_age_021,"0"
"2024",다라0740,in_age_021,"0"
"2024",다라0766,in_age_021,"5"
"2024",다라0792,in_age_021,"0"
"2024",다라0796,in_age_021,"5"
"2024",다라0888,in_age_021,"0"
"2024",다라0902,in_age_021,"5"
"2024",다라0972,in_age_021,"0"
"2024",다라0974,in_age_021,"0"
"2024",다라0995,in_age_021,"0"
"2024",다라0996,in_age_021,"0"
"2024",다라0997,in_age_021,"0"
"2024",다라1074,in_age_021,"0"
"2024",다라1107,in_age_021,"0"
"2024",다라1137,in_age_021,"0"
"2024",다라1154,in_age_021,"0"
"2024",다라1271,in_age_021,"0"
"2024",다라1272,in_age_021,"5"
"2024",다라1273,in_age_021,"5"
"2024",다라1316,in_age_021,"5"
"2024",다라1396,in_age_021,"0"
"2024",다라1425,in_age_021,"8"
"2024",다라1475,in_age_021,"0"
"2024",다라1502,in_age_021,"5"
"2024",다라1521,in_age_021,"0"
"2024",다라1603,in_age_021,"0"
"2024",다라1621,in_age_021,"0"
"2024",다라1653,in_age_021,"0"
"2024",다라1664,in_age_021,"5"
"2024",다라1720,in_age_021,"0"
"2024",다라1729,in_age_021,"0"
"2024",다라1758,in_age_021,"0"
"2024",다라1777,in_age_021,"5"
"2024",다라1790,in_age_021,"5"
"2024",다라1839,in_age_021,"0"
"2024",다라1860,in_age_021,"0"
"2024",다라1887,in_age_021,"0"
"2024",다라1890,in_age_021,"0"
"2024",다라1972,in_age_021,"0"
"2024",다라1991,in_age_021,"0"
"2024",다라2066,in_age_021,"0"
"2024",다라2116,in_age_021,"0"
"2024",다라2121,in_age_021,"0"
"2024",다라2171,in_age_021,"5"
"2024",다라2192,in_age_021,"0"
"2024",다라2257,in_age_021,"5"
"2024",다라2274,in_age_021,"5"
"2024",다라2352,in_age_021,"0"
"2024",다라2429,in_age_021,"0"
"2024",다라2464,in_age_021,"0"
"2024",다라2484,in_age_021,"0"
"2024",다라2496,in_age_021,"0"
"2024",다라2518,in_age_021,"0"
"2024",다라2589,in_age_021,"0"
"2024",다라2590,in_age_021,"0"
"2024",다라2609,in_age_021,"0"
"2024",다라2644,in_age_021,"5"
"2024",다라2645,in_age_021,"0"
"2024",다라2647,in_age_021,"0"
"2024",다라2677,in_age_021,"5"
"2024",다라2744,in_age_021,"0"
"2024",다라2767,in_age_021,"0"
"2024",다라2785,in_age_021,"5"
"2024",다라2797,in_age_021,"5"
"2024",다라2846,in_age_021,"0"
"2024",다라2867,in_age_021,"5"
"2024",다라2875,in_age_021,"5"
"2024",다라2896,in_age_021,"0"
"2024",다라2922,in_age_021,"0"
"2024",다라2926,in_age_021,"0"
"2024",다라2964,in_age_021,"0"
"2024",다라2971,in_age_021,"0"
"2024",다라2981,in_age_021,"0"
"2024",다라3033,in_age_021,"0"
"2024",다라3042,in_age_021,"0"
"2024",다라3088,in_age_021,"5"
"2024",다라3153,in_age_021,"0"
"2024",다라3158,in_age_021,"0"
"2024",다라3180,in_age_021,"5"
"2024",다라3191,in_age_021,"5"
"2024",다라3199,in_age_021,"0"
"2024",다라3271,in_age_021,"0"
"2024",다라3282,in_age_021,"0"
"2024",다라3327,in_age_021,"5"
"2024",다라3328,in_age_021,"5"
"2024",다라3361,in_age_021,"0"
"2024",다라3371,in_age_021,"0"
"2024",다라3464,in_age_021,"0"
"2024",다라3520,in_age_021,"0"
"2024",다라3527,in_age_021,"0"
"2024",다라3568,in_age_021,"0"
"2024",다라3569,in_age_021,"5"
"2024",다라3574,in_age_021,"5"
"2024",다라3582,in_age_021,"0"
"2024",다라3584,in_age_021,"5"
"2024",다라3594,in_age_021,"0"
"2024",다라3661,in_age_021,"0"
"2024",다라3683,in_age_021,"5"
"2024",다라3684,in_age_021,"5"
"2024",다라3685,in_age_021,"5"
"2024",다라3686,in_age_021,"0"
"2024",다라3704,in_age_021,"5"
"2024",다라3777,in_age_021,"0"
"2024",다라3785,in_age_021,"5"
"2024",다라3788,in_age_021,"0"
"2024",다라3790,in_age_021,"8"
"2024",다라3796,in_age_021,"0"
"2024",다라3869,in_age_021,"5"
"2024",다라3970,in_age_021,"5"
"2024",다라3976,in_age_021,"0"
"2024",다라3987,in_age_021,"5"
"2024",다라3991,in_age_021,"5"
"2024",다라3993,in_age_021,"0"
"2024",다라3997,in_age_021,"0"
"2024",다라4029,in_age_021,"0"
"2024",다라4072,in_age_021,"0"
"2024",다라4079,in_age_021,"0"
"2024",다라4081,in_age_021,"0"
"2024",다라4082,in_age_021,"0"
"2024",다라4090,in_age_021,"5"
"2024",다라4091,in_age_021,"0"
"2024",다라4100,in_age_021,"0"
"2024",다라4167,in_age_021,"0"
"2024",다라4181,in_age_021,"5"
"2024",다라4183,in_age_021,"0"
"2024",다라4186,in_age_021,"5"
"2024",다라4188,in_age_021,"0"
"2024",다라4278,in_age_021,"0"
"2024",다라4279,in_age_021,"0"
"2024",다라4280,in_age_021,"0"
"2024",다라4282,in_age_021,"0"
"2024",다라4283,in_age_021,"8"
"2024",다라4284,in_age_021,"5"
"2024",다라4286,in_age_021,"0"
"2024",다라4287,in_age_021,"5"
"2024",다라4288,in_age_021,"5"
"2024",다라4290,in_age_021,"5"
"2024",다라4311,in_age_021,"0"
"2024",다라4368,in_age_021,"0"
"2024",다라4380,in_age_021,"0"
"2024",다라4382,in_age_021,"5"
"2024",다라4383,in_age_021,"8"
"2024",다라4384,in_age_021,"5"
"2024",다라4386,in_age_021,"0"
"2024",다라4387,in_age_021,"5"
"2024",다라4389,in_age_021,"0"
"2024",다라4390,in_age_021,"0"
"2024",다라4478,in_age_021,"0"
"2024",다라4479,in_age_021,"5"
"2024",다라4480,in_age_021,"5"
"2024",다라4481,in_age_021,"0"
"2024",다라4482,in_age_021,"8"
"2024",다라4483,in_age_021,"5"
"2024",다라4485,in_age_021,"5"
"2024",다라4486,in_age_021,"5"
"2024",다라4487,in_age_021,"8"
"2024",다라4488,in_age_021,"5"
"2024",다라4531,in_age_021,"0"
"2024",다라4576,in_age_021,"0"
"2024",다라4579,in_age_021,"0"
"2024",다라4580,in_age_021,"5"
"2024",다라4582,in_age_021,"5"
"2024",다라4584,in_age_021,"5"
"2024",다라4586,in_age_021,"5"
"2024",다라4587,in_age_021,"5"
"2024",다라4588,in_age_021,"0"
"2024",다라4589,in_age_021,"0"
"2024",다라4590,in_age_021,"8"
"2024",다라4592,in_age_021,"0"
"2024",다라4612,in_age_021,"0"
"2024",다라4633,in_age_021,"0"
"2024",다라4634,in_age_021,"5"
"2024",다라4668,in_age_021,"5"
"2024",다라4680,in_age_021,"5"
"2024",다라4681,in_age_021,"8"
"2024",다라4682,in_age_021,"5"
"2024",다라4683,in_age_021,"8"
"2024",다라4684,in_age_021,"5"
"2024",다라4699,in_age_021,"0"
"2024",다라4781,in_age_021,"5"
"2024",다라4784,in_age_021,"5"
"2024",다라4785,in_age_021,"5"
"2024",다라4786,in_age_021,"5"
"2024",다라4787,in_age_021,"5"
"2024",다라4794,in_age_021,"0"
"2024",다라4818,in_age_021,"5"
"2024",다라4862,in_age_021,"5"
"2024",다라4880,in_age_021,"0"
"2024",다라4881,in_age_021,"5"
"2024",다라4882,in_age_021,"0"
"2024",다라4883,in_age_021,"0"
"2024",다라4884,in_age_021,"0"
"2024",다라4886,in_age_021,"0"
"2024",다라4891,in_age_021,"0"
"2024",다라4895,in_age_021,"5"
"2024",다라4932,in_age_021,"0"
"2024",다라4970,in_age_021,"0"
"2024",다라5065,in_age_021,"0"
"2024",다라5066,in_age_021,"0"
"2024",다라5073,in_age_021,"5"
"2024",다라5113,in_age_021,"0"
"2024",다라5142,in_age_021,"0"
"2024",다라5221,in_age_021,"0"
"2024",다라5227,in_age_021,"5"
"2024",다라5261,in_age_021,"5"
"2024",다라5271,in_age_021,"0"
"2024",다라5273,in_age_021,"0"
"2024",다라5274,in_age_021,"5"
"2024",다라5338,in_age_021,"0"
"2024",다라5373,in_age_021,"5"
"2024",다라5375,in_age_021,"0"
"2024",다라5447,in_age_021,"5"
"2024",다라5499,in_age_021,"0"
"2024",다라5638,in_age_021,"0"
"2024",다라5652,in_age_021,"0"
"2024",다라5706,in_age_021,"0"
"2024",다라6141,in_age_021,"0"
"2024",다라6412,in_age_021,"0"
"2024",다라6513,in_age_021,"0"
"2024",다라6597,in_age_021,"5"
"2024",다라6614,in_age_021,"0"
"2024",다라6615,in_age_021,"0"
"2024",다라6619,in_age_021,"0"
"2024",다라6640,in_age_021,"0"
"2024",다라6716,in_age_021,"0"
"2024",다라6718,in_age_021,"5"
"2024",다라6797,in_age_021,"0"
"2024",다라6808,in_age_021,"0"
"2024",다라6921,in_age_021,"0"
"2024",다라6940,in_age_021,"0"
"2024",다라6941,in_age_021,"0"
"2024",다라6995,in_age_021,"5"
"2024",다라7094,in_age_021,"5"
"2024",다라7195,in_age_021,"5"
"2024",다라7239,in_age_021,"0"
"2024",다라7243,in_age_021,"0"
"2024",다라7277,in_age_021,"5"
"2024",다라7304,in_age_021,"0"
"2024",다라7688,in_age_021,"0"
"2024",다라7714,in_age_021,"0"
"2024",다라7746,in_age_021,"5"
"2024",다라7786,in_age_021,"5"
"2024",다라7823,in_age_021,"5"
"2024",다라7825,in_age_021,"0"
"2024",다라7863,in_age_021,"0"
"2024",다라7865,in_age_021,"5"
"2024",다라7883,in_age_021,"0"
"2024",다라7948,in_age_021,"5"
"2024",다라7995,in_age_021,"0"
"2024",다라8023,in_age_021,"5"
"2024",다라8024,in_age_021,"0"
"2024",다라8099,in_age_021,"0"
"2024",다라8125,in_age_021,"8"
"2024",다라8128,in_age_021,"0"
"2024",다라8139,in_age_021,"5"
"2024",다라8209,in_age_021,"5"
"2024",다라8222,in_age_021,"5"
"2024",다라8397,in_age_021,"0"
"2024",다라8460,in_age_021,"0"
"2024",다라8529,in_age_021,"5"
"2024",다라8548,in_age_021,"0"
"2024",다라8549,in_age_021,"0"
"2024",다라8641,in_age_021,"0"
"2024",다라8645,in_age_021,"0"
"2024",다라8650,in_age_021,"5"
"2024",다라8722,in_age_021,"5"
"2024",다라8731,in_age_021,"0"
"2024",다라8740,in_age_021,"0"
"2024",다라8761,in_age_021,"0"
"2024",다라8925,in_age_021,"0"
"2024",다라8945,in_age_021,"5"
"2024",다라8949,in_age_021,"5"
"2024",다라9023,in_age_021,"0"
"2024",다라9045,in_age_021,"0"
"2024",다라9114,in_age_021,"5"
"2024",다라9145,in_age_021,"0"
"2024",다라9157,in_age_021,"5"
"2024",다라9188,in_age_021,"0"
"2024",다라9251,in_age_021,"0"
"2024",다라9259,in_age_021,"5"
"2024",다라9262,in_age_021,"0"
"2024",다라9352,in_age_021,"5"
"2024",다라9359,in_age_021,"0"
"2024",다라9379,in_age_021,"0"
"2024",다라9453,in_age_021,"0"
"2024",다라9507,in_age_021,"0"
"2024",다라9550,in_age_021,"0"
"2024",다라9655,in_age_021,"5"
"2024",다라9666,in_age_021,"0"
"2024",다라9689,in_age_021,"0"
"2024",다라9690,in_age_021,"0"
"2024",다라9691,in_age_021,"0"
"2024",다라9720,in_age_021,"0"
"2024",다라9785,in_age_021,"0"
"2024",다라9790,in_age_021,"0"
"2024",다라9854,in_age_021,"5"
"2024",다라9855,in_age_021,"5"
"2024",다라9863,in_age_021,"0"
"2024",다라9864,in_age_021,"0"
"2024",다라9903,in_age_021,"5"
"2024",다라9940,in_age_021,"0"
"2024",다라9959,in_age_021,"0"
"2024",다라9960,in_age_021,"0"
"2024",다라9961,in_age_021,"5"
"2024",다라9962,in_age_021,"5"
"2024",다라9964,in_age_021,"0"
"2024",라라0060,in_age_021,"0"
"2024",라라0069,in_age_021,"5"
"2024",라라0106,in_age_021,"0"
"2024",라라0160,in_age_021,"0"
"2024",라라0162,in_age_021,"0"
"2024",라라0164,in_age_021,"0"
"2024",라라0258,in_age_021,"0"
"2024",라라0263,in_age_021,"0"
"2024",라라0323,in_age_021,"0"
"2024",라라0363,in_age_021,"5"
"2024",라라0458,in_age_021,"0"
"2024",라라0486,in_age_021,"0"
"2024",라라0538,in_age_021,"0"
"2024",라라0563,in_age_021,"0"
"2024",라라0653,in_age_021,"0"
"2024",라라0663,in_age_021,"5"
"2024",라라0664,in_age_021,"0"
"2024",라라0671,in_age_021,"0"
"2024",라라0743,in_age_021,"0"
"2024",라라0753,in_age_021,"5"
"2024",라라0764,in_age_021,"5"
"2024",라라0836,in_age_021,"0"
"2024",라라0864,in_age_021,"0"
"2024",라라0965,in_age_021,"0"
"2024",라라1049,in_age_021,"0"
"2024",라라1141,in_age_021,"5"
"2024",라라1142,in_age_021,"0"
"2024",라라1144,in_age_021,"5"
"2024",라라1145,in_age_021,"0"
"2024",라라1172,in_age_021,"0"
"2024",라라1174,in_age_021,"5"
"2024",라라1187,in_age_021,"0"
"2024",라라1242,in_age_021,"5"
"2024",라라1244,in_age_021,"0"
"2024",라라1340,in_age_021,"5"
"2024",라라1341,in_age_021,"0"
"2024",라라1342,in_age_021,"5"
"2024",라라1440,in_age_021,"0"
"2024",라라1457,in_age_021,"0"
"2024",라라1467,in_age_021,"0"
