field_1,field_2,field_3,field_4
"2024",다다0000,in_age_019,"13"
"2024",다다0100,in_age_019,"13"
"2024",다다0200,in_age_019,"8"
"2024",다다0201,in_age_019,"0"
"2024",다다0300,in_age_019,"13"
"2024",다다0301,in_age_019,"13"
"2024",다다0400,in_age_019,"23"
"2024",다다0401,in_age_019,"13"
"2024",다다0500,in_age_019,"43"
"2024",다다0501,in_age_019,"5"
"2024",다다0588,in_age_019,"0"
"2024",다다0595,in_age_019,"5"
"2024",다다0600,in_age_019,"74"
"2024",다다0601,in_age_019,"5"
"2024",다다0603,in_age_019,"0"
"2024",다다0677,in_age_019,"5"
"2024",다다0699,in_age_019,"5"
"2024",다다0700,in_age_019,"13"
"2024",다다0701,in_age_019,"28"
"2024",다다0702,in_age_019,"45"
"2024",다다0703,in_age_019,"5"
"2024",다다0777,in_age_019,"5"
"2024",다다0796,in_age_019,"5"
"2024",다다0797,in_age_019,"0"
"2024",다다0798,in_age_019,"0"
"2024",다다0799,in_age_019,"0"
"2024",다다0800,in_age_019,"13"
"2024",다다0801,in_age_019,"63"
"2024",다다0802,in_age_019,"100"
"2024",다다0803,in_age_019,"13"
"2024",다다0873,in_age_019,"5"
"2024",다다0878,in_age_019,"8"
"2024",다다0897,in_age_019,"0"
"2024",다다0900,in_age_019,"43"
"2024",다다0901,in_age_019,"73"
"2024",다다0902,in_age_019,"92"
"2024",다다0903,in_age_019,"13"
"2024",다다0975,in_age_019,"5"
"2024",다다0991,in_age_019,"5"
"2024",다다0997,in_age_019,"5"
"2024",다다0998,in_age_019,"0"
"2024",다다0999,in_age_019,"5"
"2024",다다1000,in_age_019,"28"
"2024",다다1001,in_age_019,"81"
"2024",다다1002,in_age_019,"83"
"2024",다다1003,in_age_019,"28"
"2024",다다1075,in_age_019,"5"
"2024",다다1093,in_age_019,"5"
"2024",다다1095,in_age_019,"0"
"2024",다다1096,in_age_019,"5"
"2024",다다1097,in_age_019,"5"
"2024",다다1100,in_age_019,"18"
"2024",다다1101,in_age_019,"33"
"2024",다다1102,in_age_019,"18"
"2024",다다1103,in_age_019,"0"
"2024",다다1179,in_age_019,"0"
"2024",다다1197,in_age_019,"5"
"2024",다다1200,in_age_019,"5"
"2024",다다1202,in_age_019,"8"
"2024",다다1203,in_age_019,"8"
"2024",다다1204,in_age_019,"5"
