field_1,field_2,field_3,field_4
"2024",마라0035,to_in_001,"48"
"2024",마라0036,to_in_001,"13"
"2024",마라0037,to_in_001,"78"
"2024",마라0041,to_in_001,"83"
"2024",마라0042,to_in_001,"58"
"2024",마라0043,to_in_001,"128"
"2024",마라0045,to_in_001,"28"
"2024",마라0046,to_in_001,"152"
"2024",마라0047,to_in_001,"48"
"2024",마라0048,to_in_001,"78"
"2024",마라0049,to_in_001,"223"
"2024",마라0050,to_in_001,"68"
"2024",마라0051,to_in_001,"205"
"2024",마라0052,to_in_001,"173"
"2024",마라0055,to_in_001,"4626"
"2024",마라0056,to_in_001,"697"
"2024",마라0059,to_in_001,"8"
"2024",마라0060,to_in_001,"382"
"2024",마라0061,to_in_001,"58"
"2024",마라0062,to_in_001,"183"
"2024",마라0063,to_in_001,"5"
"2024",마라0075,to_in_001,"168"
"2024",마라0076,to_in_001,"218"
"2024",마라0077,to_in_001,"8"
"2024",마라0078,to_in_001,"8"
"2024",마라0079,to_in_001,"13"
"2024",마라0080,to_in_001,"13"
"2024",마라0085,to_in_001,"33"
"2024",마라0086,to_in_001,"88"
"2024",마라0088,to_in_001,"257"
"2024",마라0089,to_in_001,"5"
"2024",마라0090,to_in_001,"0"
"2024",마라0091,to_in_001,"458"
"2024",마라0092,to_in_001,"204"
"2024",마라0094,to_in_001,"521"
"2024",마라0095,to_in_001,"5523"
"2024",마라0096,to_in_001,"3663"
"2024",마라0099,to_in_001,"73"
"2024",마라0137,to_in_001,"63"
"2024",마라0138,to_in_001,"127"
"2024",마라0139,to_in_001,"5"
"2024",마라0141,to_in_001,"63"
"2024",마라0142,to_in_001,"5"
"2024",마라0145,to_in_001,"13"
"2024",마라0146,to_in_001,"63"
"2024",마라0147,to_in_001,"68"
"2024",마라0148,to_in_001,"452"
"2024",마라0149,to_in_001,"103"
"2024",마라0150,to_in_001,"178"
"2024",마라0151,to_in_001,"8"
"2024",마라0154,to_in_001,"1318"
"2024",마라0155,to_in_001,"17147"
"2024",마라0156,to_in_001,"883"
"2024",마라0158,to_in_001,"5"
"2024",마라0159,to_in_001,"792"
"2024",마라0160,to_in_001,"493"
"2024",마라0162,to_in_001,"5"
"2024",마라0163,to_in_001,"118"
"2024",마라0174,to_in_001,"18"
"2024",마라0175,to_in_001,"69"
"2024",마라0176,to_in_001,"83"
"2024",마라0177,to_in_001,"28"
"2024",마라0178,to_in_001,"132"
"2024",마라0184,to_in_001,"13"
"2024",마라0185,to_in_001,"73"
"2024",마라0186,to_in_001,"163"
"2024",마라0189,to_in_001,"0"
"2024",마라0191,to_in_001,"935"
"2024",마라0194,to_in_001,"43"
"2024",마라0195,to_in_001,"8231"
"2024",마라0196,to_in_001,"17697"
"2024",마라0197,to_in_001,"3858"
"2024",마라0198,to_in_001,"48"
"2024",마라0199,to_in_001,"108"
"2024",마라0236,to_in_001,"8"
"2024",마라0237,to_in_001,"123"
"2024",마라0238,to_in_001,"8"
"2024",마라0245,to_in_001,"68"
"2024",마라0246,to_in_001,"5"
"2024",마라0247,to_in_001,"83"
"2024",마라0250,to_in_001,"0"
"2024",마라0253,to_in_001,"13"
"2024",마라0254,to_in_001,"6208"
"2024",마라0255,to_in_001,"8218"
"2024",마라0256,to_in_001,"4609"
"2024",마라0257,to_in_001,"884"
"2024",마라0258,to_in_001,"425"
"2024",마라0259,to_in_001,"203"
"2024",마라0262,to_in_001,"5"
"2024",마라0263,to_in_001,"133"
"2024",마라0265,to_in_001,"48"
"2024",마라0266,to_in_001,"115"
"2024",마라0267,to_in_001,"93"
"2024",마라0268,to_in_001,"44"
"2024",마라0275,to_in_001,"109"
"2024",마라0286,to_in_001,"0"
"2024",마라0288,to_in_001,"5"
"2024",마라0289,to_in_001,"2724"
"2024",마라0290,to_in_001,"3691"
"2024",마라0291,to_in_001,"50"
"2024",마라0294,to_in_001,"94"
"2024",마라0295,to_in_001,"4581"
"2024",마라0296,to_in_001,"18450"
"2024",마라0297,to_in_001,"9416"
"2024",마라0299,to_in_001,"8"
"2024",마라0336,to_in_001,"38"
"2024",마라0337,to_in_001,"18"
"2024",마라0338,to_in_001,"198"
"2024",마라0339,to_in_001,"13"
"2024",마라0342,to_in_001,"8"
"2024",마라0343,to_in_001,"5"
"2024",마라0344,to_in_001,"28"
"2024",마라0345,to_in_001,"28"
"2024",마라0346,to_in_001,"68"
"2024",마라0347,to_in_001,"48"
"2024",마라0350,to_in_001,"5"
"2024",마라0351,to_in_001,"8"
"2024",마라0352,to_in_001,"13310"
"2024",마라0353,to_in_001,"6905"
"2024",마라0354,to_in_001,"3164"
"2024",마라0355,to_in_001,"5478"
"2024",마라0356,to_in_001,"12401"
"2024",마라0357,to_in_001,"178"
"2024",마라0359,to_in_001,"13"
"2024",마라0361,to_in_001,"33"
"2024",마라0362,to_in_001,"158"
"2024",마라0363,to_in_001,"171"
"2024",마라0365,to_in_001,"118"
"2024",마라0366,to_in_001,"28"
"2024",마라0367,to_in_001,"88"
"2024",마라0368,to_in_001,"98"
"2024",마라0369,to_in_001,"8"
"2024",마라0374,to_in_001,"73"
"2024",마라0375,to_in_001,"58"
