행정구역명,학원/교습소,학원지정번호,학원명,도로명주소,도로명상세주소,분야명,교습계열명,교습과정목록명,교습과정명,정원합계,일시수용능력인원합계,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,등록상태명,등록일자,휴원시작일자,휴원종료일자,개설일자,적재일시
동대문구,학원,1000000064,대성회계실무학원,서울특별시 동대문구 왕산로 225,", 5층2호?5층6호?5층7호 중 일부(B호) (청량리동, 미주상가)",종합(대),,"전산회계,컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",,404,129,,Y,N,2490,개원,19681227,,99991231,19681227,20231018
동대문구,학원,1000000083,국제전자과학학원,서울특별시 동대문구 고산자로36길 3,", 3층 일부 (제기동, 경동시장)",직업기술,산업기반기술,"전자,",전자,30,91,,Y,N,2571,개원,19680210,,99991231,19680210,20231018
동대문구,학원,1000000147,조이앤플레이음악학원,서울특별시 동대문구 이문로 38,", 3층 301호 (휘경동, 민족통일빌딩)",기예(대),기예(중),실용음악(성악),실용음악(성악),98,45,,Y,N,2445,개원,19720630,,99991231,19720630,20260201
동대문구,학원,1000000151,한독자동차정비학원,서울특별시 동대문구 왕산로 31,", 2층,3층 (신설동)",직업기술,산업기반기술,자동차,자동차,210,177,,Y,N,130811,개원,19720501,,99991231,19720501,20260426
중랑구,학원,1000000293,예맥보습학원,서울특별시 중랑구 동일로151길 30,2층 (묵동),입시.검정 및 보습,보통교과,보습,보습,0,69,,Y,N,2008,개원,19881102,,99991231,19881102,20250330
중랑구,학원,1000000511,금파음악학원,서울특별시 중랑구 동일로101길 52,2층 (면목동),예능(대),예능(중),음악,음악,117,9,,Y,N,131823,개원,19880829,,99991231,19880829,20240908
동대문구,학원,1000000714,청담+수학학원,서울특별시 동대문구 한천로 124,", 2층 202호 (장안동)",입시.검정 및 보습,보통교과,,보습,140,71,,Y,N,2623,개원,19891209,,99991231,19891209,20240317
동대문구,학원,1000000776,더하이스트수학학원,서울특별시 동대문구 사가정로 190,", 상가4층 8,9호 (전농동, 전농우성아파트)",입시.검정 및 보습,보통교과,보습?논술,보습?논술,180,68,,Y,N,2533,개원,19890619,,99991231,19890619,20260802
동대문구,학원,1000000804,미래사관학원,서울특별시 동대문구 천호대로16길 12,3층4층 (용두동),입시.검정 및 보습,보통교과,보습,보습,114,130,,Y,N,130821,개원,19890522,,99991231,19890522,20260329
중랑구,학원,1000000955,필립학원,서울특별시 중랑구 동일로129길 54,2층 (중화동),입시.검정 및 보습,보통교과,,보습,210,105,,Y,N,131881,개원,19890514,,99991231,19890514,20250112
동대문구,학원,1000001047,주미음악학원,서울특별시 동대문구 장한로30길 31,3층 (장안동),예능(대),예능(중),음악,음악,35,41,,Y,N,130839,개원,19890722,,99991231,19890722,20240317
동대문구,학원,1000001068,새암음악학원,서울특별시 동대문구 답십리로72길 118,5층 (장안동),예능(대),예능(중),음악,음악,441,49,,Y,N,130841,개원,19890911,,99991231,19890911,20250112
중랑구,학원,1000001072,클라라음악학원,서울특별시 중랑구 겸재로3길 22,3층 (면목동),예능(대),예능(중),음악,음악,90,32,,Y,N,131820,개원,19890911,,99991231,19890911,20260201
동대문구,학원,1000001110,예술의악당음악학원,서울특별시 동대문구 이문로1길 16-3,", 2층 (회기동)",예능(대),예능(중),"음악,",음악,460,45,,Y,N,2461,개원,19891005,,99991231,19891005,20250209
동대문구,학원,1000001203,이엘음악학원,서울특별시 동대문구 천호대로77길 89,2층 (장안동),예능(대),예능(중),음악,음악,180,55,,Y,N,130837,개원,19901108,,99991231,19901108,20250518
동대문구,학원,1000001390,맨하탄학원,서울특별시 동대문구 황물로 42,", 2층 4호 전부ㆍ5호 일부 (답십리동)",입시.검정 및 보습,보통교과,보습,보습,0,84,,Y,N,2593,개원,19900219,,99991231,19900219,20260215
동대문구,학원,1000001429,한영보습학원,서울특별시 동대문구 답십리로23길 59,(2층) (전농동),입시.검정 및 보습,보통교과,보습,보습,90,92,,Y,N,130857,개원,19900201,,99991231,19900201,20260712
동대문구,학원,1000001549,수학엠플러스학원,서울특별시 동대문구 한천로 165,", 3층 일부 (답십리동)",입시.검정 및 보습,보통교과,"보습,",보습,84,61,,Y,N,2534,개원,19890601,,99991231,19890601,20250112
