행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
동대문구,학원,대성회계실무학원,서울특별시 동대문구 왕산로 225,종합(대),,"전산회계,컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",404,19681227,20231018
동대문구,학원,국제전자과학학원,서울특별시 동대문구 고산자로36길 3,직업기술,산업기반기술,"전자,",30,19680210,20231018
동대문구,학원,조이앤플레이음악학원,서울특별시 동대문구 이문로 38,기예(대),기예(중),실용음악(성악),98,19720630,20260201
동대문구,학원,한독자동차정비학원,서울특별시 동대문구 왕산로 31,직업기술,산업기반기술,자동차,210,19720501,20260426
중랑구,학원,예맥보습학원,서울특별시 중랑구 동일로151길 30,입시.검정 및 보습,보통교과,보습,0,19881102,20250330
중랑구,학원,금파음악학원,서울특별시 중랑구 동일로101길 52,예능(대),예능(중),음악,117,19880829,20240908
동대문구,학원,청담+수학학원,서울특별시 동대문구 한천로 124,입시.검정 및 보습,보통교과,,140,19891209,20240317
동대문구,학원,더하이스트수학학원,서울특별시 동대문구 사가정로 190,입시.검정 및 보습,보통교과,보습?논술,180,19890619,20260802
동대문구,학원,미래사관학원,서울특별시 동대문구 천호대로16길 12,입시.검정 및 보습,보통교과,보습,114,19890522,20260329
중랑구,학원,필립학원,서울특별시 중랑구 동일로129길 54,입시.검정 및 보습,보통교과,,210,19890514,20250112
동대문구,학원,주미음악학원,서울특별시 동대문구 장한로30길 31,예능(대),예능(중),음악,35,19890722,20240317
동대문구,학원,새암음악학원,서울특별시 동대문구 답십리로72길 118,예능(대),예능(중),음악,441,19890911,20250112
중랑구,학원,클라라음악학원,서울특별시 중랑구 겸재로3길 22,예능(대),예능(중),음악,90,19890911,20260201
동대문구,학원,예술의악당음악학원,서울특별시 동대문구 이문로1길 16-3,예능(대),예능(중),"음악,",460,19891005,20250209
동대문구,학원,이엘음악학원,서울특별시 동대문구 천호대로77길 89,예능(대),예능(중),음악,180,19901108,20250518
동대문구,학원,맨하탄학원,서울특별시 동대문구 황물로 42,입시.검정 및 보습,보통교과,보습,0,19900219,20260215
동대문구,학원,한영보습학원,서울특별시 동대문구 답십리로23길 59,입시.검정 및 보습,보통교과,보습,90,19900201,20260712
동대문구,학원,수학엠플러스학원,서울특별시 동대문구 한천로 165,입시.검정 및 보습,보통교과,"보습,",84,19890601,20250112
중랑구,학원,대정보습학원,서울특별시 중랑구 용마산로 389,입시.검정 및 보습,보통교과,"보습,",50,19920605,20260208
동대문구,학원,대우건축토목학원,서울특별시 동대문구 하정로 36,직업기술,산업기반기술,"토목,건축,안전관리,",2310,19900402,20231217
동대문구,학원,진주컴퓨터학원,서울특별시 동대문구 홍릉로15길 43,기타(대),기타(중),"컴퓨터(소),",57,19901231,20250112
동대문구,학원,SDA삼육외국어학원,서울특별시 동대문구 망우로18길 33,종합(대),,"보습,실용외국어(유아/초?중?고)",176,19910604,20260705
동대문구,학원,교원더퍼스트캠퍼스학원,서울특별시 동대문구 이문로 65,입시.검정 및 보습,보통교과,보습,132,19921102,20251109
중랑구,학원,정주피아노학원,서울특별시 중랑구 동일로140길 16,예능(대),예능(중),"음악,",45,19920225,20250112
동대문구,학원,미시간캠퍼스어학원,서울특별시 동대문구 휘경로 39,국제화,외국어,"실용외국어(유아/초?중?고),",60,19920729,20250112
중랑구,학원,조숭지음악학원,서울특별시 중랑구 동일로129길 22,예능(대),예능(중),"음악,",45,19920918,20250112
중랑구,학원,새한음악학원,서울특별시 중랑구 면목로27길 6,예능(대),예능(중),음악,56,19931105,20250112
중랑구,학원,으뜸학원,서울특별시 중랑구 용마산로 436,입시.검정 및 보습,보통교과,,80,19930619,20260315
동대문구,학원,수재학원,서울특별시 동대문구 답십리로 133,입시.검정 및 보습,보통교과,보습,370,19940706,20241215
중랑구,학원,줄리어드음악학원,서울특별시 중랑구 용마산로116길 22,예능(대),예능(중),음악,150,19940302,20260405
중랑구,학원,미래엔수학삼성영어셀레나서림학원,서울특별시 중랑구 면목로57길 35,종합(대),,"미술,보습",204,19940409,20260308
동대문구,학원,수정음악학원,서울특별시 동대문구 답십리로66길 99,예능(대),예능(중),음악,60,19940607,20250112
중랑구,학원,하브엘음악학원,서울특별시 중랑구 봉화산로56길 153,예능(대),예능(중),음악,110,19940729,20241215
중랑구,학원,이룸학원,서울특별시 중랑구 면목로27길 6,입시.검정 및 보습,보통교과,보습,60,19950731,20231224
중랑구,학원,하나에듀학원,서울특별시 중랑구 봉우재로 211,입시.검정 및 보습,보통교과,보습,208,19950914,20260201
중랑구,학원,면일보습학원,서울특별시 중랑구 용마산로94길 47,입시.검정 및 보습,보통교과,보습,40,19950918,20250112
중랑구,학원,정상보습학원,서울특별시 중랑구 면목로48길 65,입시.검정 및 보습,보통교과,보습,200,19950922,20251102
동대문구,학원,이문보습학원,서울특별시 동대문구 한천로 481,입시.검정 및 보습,보통교과,보습,72,19960523,20260405
