행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
강남구,학원,필독국어학원,서울특별시 강남구 삼성로 150,입시.검정 및 보습,보통교과,보습?논술,288,20260602,20260614
강남구,학원,다함영재원별관학원,서울특별시 강남구 영동대로 221,입시.검정 및 보습,,,288,20260602,20260607
강남구,교습소,하리(Hari English)영어교습소,서울특별시 강남구 압구정로 113-22,입시.검정 및 보습,,,0,20260608,20260614
동대문구,학원,언어의미래국어답십리관학원,서울특별시 동대문구 답십리로 150,입시.검정 및 보습,보통교과,보습?논술,0,20260604,20260816
관악구,교습소,관악봉천중앙길그림작업실미술교습소,서울특별시 관악구 양녕로16길 8,예능(대),,,0,20260604,20260607
마포구,학원,책나무마포아현독서논술학원,서울특별시 마포구 굴레방로 27,입시.검정 및 보습,,,460,20260604,20260607
강동구,교습소,매쓰두잉센터수학교습소,서울특별시 강동구 양재대로 1377,입시.검정 및 보습,보통교과,"초등수학1(4.2주)(주2회,회115분)",0,20260604,20260809
노원구,학원,스터디하이학원,서울특별시 노원구 석계로 49,입시.검정 및 보습,,,0,20260604,20260607
송파구,교습소,잉글리쉬에비뉴(EnglishAvenue)영어교습소,서울특별시 송파구 위례광장로 188,국제화,,,0,20260604,20260607
양천구,교습소,목동에스(S)수학교습소,서울특별시 양천구 목동동로 180,입시.검정 및 보습,,,0,20260605,20260607
양천구,교습소,플라톤목동초점독서토론논술교습소,서울특별시 양천구 신목로 77,입시.검정 및 보습,,,0,20260605,20260607
강서구,학원,피아리노원격학원,서울특별시 강서구 마곡중앙로 105-7,기예(대),,,0,20260605,20260607
서대문구,학원,커넥트안암학원,서울특별시 서대문구 통일로 173-4,입시.검정 및 보습,,,219,20260605,20260607
노원구,학원,향수학교육연구소원격학원,서울특별시 노원구 덕릉로127길 25,인문사회(대),,,0,20260605,20260607
서대문구,학원,엠피리언수학학원,서울특별시 서대문구 성산로 565,입시.검정 및 보습,보통교과,보습,408,20260605,20260816
구로구,교습소,탐구수학교습소,서울특별시 구로구 중앙로6길 17,입시.검정 및 보습,,,0,20260605,20260712
은평구,교습소,한우리독서토론논술은평뉴타운신도논술교습소,서울특별시 은평구 진관2로 90,입시.검정 및 보습,,,0,20260605,20260607
서초구,교습소,오르고수학교습소,서울특별시 서초구 성촌1길 26,입시.검정 및 보습,,,0,20260604,20260628
강남구,학원,라라뮤직아카데미학원,서울특별시 강남구 선릉로 225,예능(대),예능(중),음악,0,20260604,20260628
관악구,학원,관악시매쓰청명학원,서울특별시 관악구 양녕로 61,입시.검정 및 보습,,,303,20260608,20260614
종로구,교습소,평창씨투엠 수학교습소,서울특별시 종로구 평창문화로 139,입시.검정 및 보습,,,0,20260608,20260614
용산구,학원,에피토미에듀어학원,서울특별시 용산구 서빙고로 38,국제화,,,0,20260608,20260802
강북구,학원,공대다롱쌤원격학원,서울특별시 강북구 도봉로 104,입시.검정 및 보습,보통교과,보습?논술,0,20260604,20260628
강서구,학원,리드앤띵크학원,서울특별시 강서구 강서로 348,입시.검정 및 보습,,,28,20260608,20260614
송파구,학원,아이원아카데미본원학원,서울특별시 송파구 백제고분로9길 53,기타(대),,,399,20260608,20260614
강남구,학원,에이피(AP)관베테랑스어학원,서울특별시 강남구 도산대로6길 10,국제화,,,414,20260608,20260614
마포구,학원,룩스하이학원,서울특별시 마포구 백범로31길 8,입시.검정 및 보습,,,410,20260608,20260614
노원구,교습소,책통클럽노원동아불암센터독서논술교습소,서울특별시 노원구 덕릉로 780,입시.검정 및 보습,,,0,20260609,20260614
동작구,교습소,연세탑과학교습소,서울특별시 동작구 만양로 26,입시.검정 및 보습,보통교과,초등과학A(4주),0,20260609,20260621
서초구,학원,밥뮤직학원,서울특별시 서초구 동산로 61,예능(대),,,330,20260609,20260816
영등포구,교습소,한우리독서토론논술여의도스카이논술교습소,서울특별시 영등포구 여의대방로 417,입시.검정 및 보습,보통교과,초등 정규 (일150분*주1회*4.2주),0,20260609,20260712
중랑구,학원,아소비큐미르다담학원,서울특별시 중랑구 면목로27길 92,입시.검정 및 보습,,,0,20260610,20260614
서초구,학원,줄리아발레스튜디오학원,서울특별시 서초구 서초중앙로31길 6-9,기예(대),,,516,20260610,20260614
양천구,학원,꼼꼼수학국어루미북학원,서울특별시 양천구 신목로 83,입시.검정 및 보습,,,72,20260610,20260614
강서구,학원,설탭슈퍼스터디학원,서울특별시 강서구 강서로47길 169,입시.검정 및 보습,보통교과,보습?논술,80,20260610,20260712
양천구,학원,세실이화성악학원,서울특별시 양천구 중앙로32길 67,예능(대),,,0,20260610,20260614
성동구,교습소,패스웨이잉글리쉬(Pathway English)영어교습소,서울특별시 성동구 왕십리로 137,입시.검정 및 보습,,,0,20260610,20260614
강남구,학원,대치365국어학원,서울특별시 강남구 삼성로 150,입시.검정 및 보습,보통교과,보습?논술,288,20260611,20260614
금천구,교습소,한우리독서논술교습소,서울특별시 금천구 시흥대로39길 46,입시.검정 및 보습,,,0,20260611,20260712
동대문구,학원,패스파인더학원,서울특별시 동대문구 이문로 75,입시.검정 및 보습,보통교과,보습,0,20260610,20260719
성북구,학원,성북덕스어학원,서울특별시 성북구 숭인로 50,국제화,,,882,20260611,20260614
구로구,학원,스마트해법학원,서울특별시 구로구 천왕로 36,입시.검정 및 보습,보통교과,보습,0,20260611,20260802
강남구,학원,데일리뮤직실용음악학원,서울특별시 강남구 논현로67길 50,예능(대),,,190,20260611,20260614
강남구,교습소,도모액팅스튜디오연기교습소,서울특별시 강남구 역삼로 246,기타(대),,,0,20260611,20260614
서초구,학원,초이클래식음악학원,서울특별시 서초구 반포대로13길 33,예능(대),,,444,20260611,20260614
강남구,학원,기적의대입논술원격학원,서울특별시 강남구 강남대로92길 31,입시.검정 및 보습,,,0,20260618,20260621
서초구,학원,책나무서래초점학원,서울특별시 서초구 방배로42길 36-4,입시.검정 및 보습,보통교과,보습?논술,504,20260611,20260628
강남구,학원,진선미에듀수학영재관학원,서울특별시 강남구 역삼로 456,입시.검정 및 보습,,,0,20260615,20260621
동대문구,학원,장안사계결과입시학원,서울특별시 동대문구 답십리로 287,입시.검정 및 보습,보통교과,보습?논술,0,20260615,20260816
성북구,교습소,한우리독서토론논술성북길음래미안독서논술교습소,서울특별시 성북구 길음로9길 40,입시.검정 및 보습,,,0,20260615,20260621
송파구,교습소,솔드럼교습소,서울특별시 송파구 마천로 41,예능(대),,,0,20260615,20260621
송파구,교습소,드보라(Deborah)영어교습소,서울특별시 송파구 올림픽로 119,국제화,외국어,"국제화영어(초중고)(4주)(주3회, 회당180분)",0,20260615,20260719
송파구,교습소,공부잘하는수논술교습소,서울특별시 송파구 송파대로 345,입시.검정 및 보습,보통교과,"초등독서논술(4주)(주2회, 회당165분)",0,20260615,20260802
성북구,교습소,더봄영어교습소,서울특별시 성북구 오패산로 46,입시.검정 및 보습,,,0,20260615,20260621
서초구,교습소,리틀코밍(Little Combing)미술교습소,서울특별시 서초구 방배로20길 28,예능(대),,,0,20260617,20260621
마포구,학원,하이컨설팅학원,서울특별시 마포구 월드컵북로6길 53,입시.검정 및 보습,,,365,20260615,20260621
강남구,교습소,엘리오르진학상담교습소,서울특별시 강남구 선릉로16길 4,입시.검정 및 보습,진학지도,진학상담1,0,20260612,20260705
서초구,학원,방배이루다음악학원,서울특별시 서초구 방배로31길 61,예능(대),,,259,20260619,20260628
종로구,학원,플로웰영어(Flowell English)어학원,서울특별시 종로구 우정국로2길 21,국제화,국제,어학(성인),0,20260616,20260712
종로구,학원,오늘발레스튜디오광화문점학원,서울특별시 종로구 새문안로 89,기예(대),기예(중),기예(중),0,20260616,20260712
은평구,학원,히어로히어로국어전문학원,서울특별시 은평구 서오릉로 151,입시.검정 및 보습,,,336,20260616,20260621
강남구,학원,시즌엠아카데미학원,서울특별시 강남구 도곡로1길 23,기예(대),기예(중),"연기(연극,뮤지컬,오페라)",216,20240520,20260621
강남구,학원,시즌엠연기뮤지컬학원,서울특별시 강남구 도곡로1길 23,기타(대),기타(중),기타(소),258,20240520,20260809
양천구,학원,원웅재물리전문학원,서울특별시 양천구 목동서로 133-2,입시.검정 및 보습,,,71,20260617,20260621
은평구,학원,신명해냄학원,서울특별시 은평구 가좌로 215,입시.검정 및 보습,,,231,20260617,20260621
강남구,학원,예지안컨설팅학원,서울특별시 강남구 역삼로 536,입시.검정 및 보습,,,400,20260617,20260621
송파구,교습소,탑중국어교습소,서울특별시 송파구 올림픽로 119,국제화,,,0,20260617,20260621
영등포구,학원,뉴서울국제학원,서울특별시 영등포구 도림로 159,입시.검정 및 보습,,,0,20260617,20260621
송파구,교습소,이백국어교습소,서울특별시 송파구 양재대로 1222,입시.검정 및 보습,,,0,20260617,20260621
강서구,교습소,하이스코어국어교습소,서울특별시 강서구 강서로 324,입시.검정 및 보습,,,0,20260618,20260621
노원구,학원,와이국어논술학원,서울특별시 노원구 중계로 217,입시.검정 및 보습,,,0,20260618,20260621
강남구,학원,프로세스논술2관학원,서울특별시 강남구 역삼로64길 18,입시.검정 및 보습,보통교과,보습?논술,76,20260618,20260628
구로구,학원,김채연영어학원,서울특별시 구로구 경인로 382,입시.검정 및 보습,,,0,20260618,20260621
강남구,학원,에이치엠케이경매공매전문학원,서울특별시 강남구 봉은사로 129-1,직업기술,경영?사무관리,경매,178,20260618,20260621
서초구,교습소,큐라영어교습소,서울특별시 서초구 서초대로19길 77,입시.검정 및 보습,보통교과,영어A,0,20260708,20260719
강남구,교습소,베이스앤뮤직랩음악교습소,서울특별시 강남구 선릉로68길 10,예능(대),,,0,20260617,20260621
광진구,학원,SWG일본어원격학원,서울특별시 광진구 아차산로78길 75,국제화,,,0,20260618,20260712
강서구,교습소,더(The)멘토잉글리쉬영어교습소,서울특별시 강서구 방화대로45길 68,입시.검정 및 보습,,,0,20260619,20260621
송파구,학원,상공스카이(SKY)학원,서울특별시 송파구 위례서로 244,입시.검정 및 보습,보통교과,보통교과,160,20260618,20260621
노원구,교습소,연세큐티(QT)영어교습소,서울특별시 노원구 한글비석로 232,입시.검정 및 보습,보통교과,고등 영어,0,20260619,20260621
서초구,학원,퍼스트클래스독학관학원,서울특별시 서초구 서초대로78길 52,인문사회(대),,,528,20260619,20260621
강남구,학원,클래스데이원격학원,서울특별시 강남구 도곡로1길 10,입시.검정 및 보습,,,100,20260619,20260621
서초구,학원,필즈더클래식방배센터학원,서울특별시 서초구 동광로 5,입시.검정 및 보습,,,218,20260619,20260621
송파구,교습소,미스아이린(Ms.Irene)영어교습소,서울특별시 송파구 위례광장로 270,입시.검정 및 보습,보통교과,"초등영어1(4.2주)(주3회, 회당60분)",0,20260619,20260705
,학원,잉글리쉬닥터학원,서울특별시 강남구 압구정로2길 18,입시.검정 및 보습,보통교과,"보습,",216,20190723,20260719
강남구,학원,별관트윈클어학원,서울특별시 강남구 도곡로63길 34,국제화,,,320,20260624,20260628
양천구,교습소,아티튜드(Artitude)미술교습소,서울특별시 양천구 목동동로 339,예능(대),,,0,20260622,20260628
강남구,학원,빡공수학과문경희영어학원,서울특별시 강남구 선릉로64길 36,입시.검정 및 보습,보통교과,보습?논술,0,20260619,20260628
,학원,에이닷영어원격교습학원,서울특별시 강남구 테헤란로8길 37,입시.검정 및 보습,보통교과,보습?논술,3320,20190227,20260705
서대문구,교습소,피아아트스튜디오미술교습소,서울특별시 서대문구 수색로4나길 11,예능(대),,,0,20260622,20260628
성북구,학원,피움무용학원,서울특별시 성북구 화랑로 248,기예(대),,,510,20260623,20260628
강서구,학원,이화키키아뜰리에미술학원,서울특별시 강서구 우현로 9,예능(대),,,0,20260623,20260628
은평구,학원,사과나무블랙수학학원,서울특별시 은평구 은평로 200-1,입시.검정 및 보습,,,292,20260623,20260628
서초구,교습소,파로스2관과학교습소,서울특별시 서초구 신반포로 213,입시.검정 및 보습,보통교과,고1과학(6),0,20260624,20260816
서대문구,교습소,김보일논술교습소,서울특별시 서대문구 세검정로1길 77,입시.검정 및 보습,,,0,20260623,20260628
서초구,교습소,일등급국어교습소,서울특별시 서초구 잠원로8길 25,입시.검정 및 보습,,,0,20260624,20260628
동작구,교습소,리드인신길초점독서논술교습소,서울특별시 동작구 여의대방로 256,입시.검정 및 보습,,,0,20260618,20260628
강남구,교습소,리유다르미술교습소,서울특별시 강남구 역삼로 137,예능(대),,,0,20260624,20260628
강서구,학원,오닉스커피학원,서울특별시 강서구 마곡서로 101,직업기술,산업응용기술,"식음료품(바리스타,소믈리에)",0,20260624,20260712
강남구,학원,댄스바이유아카데미학원,서울특별시 강남구 도곡로27길 5,기예(대),,,138,20260623,20260628
성북구,학원,아트리유미술학원,서울특별시 성북구 돌곶이로22길 47,예능(대),,,0,20260624,20260628
구로구,학원,우행공수학학원,서울특별시 구로구 구일로 110,입시.검정 및 보습,,,0,20260624,20260628
영등포구,교습소,정원영어교습소,서울특별시 영등포구 여의대방로35길 7,입시.검정 및 보습,보통교과,초등영어1(일60분*주3회*4.2주),0,20260624,20260712
광진구,학원,탈탈토목원격학원,서울특별시 광진구 뚝섬로31길 43,종합(대),,,0,20260625,20260628
서초구,학원,이채국어학원,서울특별시 서초구 고무래로 6-7,입시.검정 및 보습,보통교과,보습?논술,0,20260623,20260802
서대문구,학원,스타음악학원,서울특별시 서대문구 신촌로 215,예능(대),,,200,20260625,20260809
양천구,교습소,목동퍼스트예진학습컨설팅진학지도교습소,서울특별시 양천구 목동서로 213,입시.검정 및 보습,,,0,20260625,20260628
관악구,학원,매쓰홀릭고등부학원,서울특별시 관악구 관악로 223,입시.검정 및 보습,,,114,20260625,20260628
송파구,교습소,오후의그림미술교습소,서울특별시 송파구 양산로 14,예능(대),,,0,20260625,20260628
마포구,학원,아이작무용아카데미학원,서울특별시 마포구 삼개로 35,예능(대),,,0,20260624,20260628
서초구,학원,비앤비아이돌랩(BNBIDOLLAB)학원,서울특별시 서초구 사평대로55길 139,기타(대),,,102,20260626,20260628
서대문구,교습소,북작(BOOKZAK)영어교습소,서울특별시 서대문구 수색로2길 39,국제화,외국어,,0,20260626,20260719
마포구,교습소,하슬샘독서논술교습소,서울특별시 마포구 마포대로7길 31,입시.검정 및 보습,보통교과,(초등)A독서논술,0,20260626,20260809
강서구,교습소,아이온수학교습소,서울특별시 강서구 강서로45길 92-5,입시.검정 및 보습,보통교과,초등수학A,0,20260626,20260705
서초구,학원,피봇스튜디오방배점보컬학원,서울특별시 서초구 방배로 81,종합(대),,"음악,진학상담지도",1220,20260626,20260816
동대문구,교습소,자라는수학교습소,서울특별시 동대문구 사가정로 39,입시.검정 및 보습,,,0,20260626,20260628
강남구,학원,옥쌤대길원격학원,서울특별시 강남구 테헤란로86길 15,입시.검정 및 보습,,,0,20260626,20260628
동대문구,교습소,수학에반하다수학교습소,서울특별시 동대문구 이문로 120,입시.검정 및 보습,,,0,20260629,20260705
송파구,교습소,솔루트사회교습소,서울특별시 송파구 삼전로 37,입시.검정 및 보습,보통교과,"고등사회1(4주)(주1회, 회330분)",0,20260629,20260809
송파구,교습소,생각나래송파북위례점독서토론논술교습소,서울특별시 송파구 위례서로 234,입시.검정 및 보습,보통교과,"초등논술(4.2주)(주1회, 회당190분)",0,20260629,20260719
송파구,학원,북위례소마사고력수학학원,서울특별시 송파구 위례송파로 77,입시.검정 및 보습,,,120,20260629,20260712
서초구,학원,스와튼서울(SWATON SEOUL)학원,서울특별시 서초구 서초중앙로31길 6-3,종합(대),,,0,20260626,20260705
송파구,학원,읽기의로프학원,서울특별시 송파구 도곡로64길 7,입시.검정 및 보습,보통교과,보습?논술,70,20260629,20260712
노원구,학원,제이제곱에듀학원,서울특별시 노원구 광운로2가길 23,입시.검정 및 보습,보통교과,보습,0,20260629,20260712
송파구,학원,멜번에듀학원,서울특별시 송파구 강동대로9길 11,입시.검정 및 보습,보통교과,보습,284,20260628,20260719
송파구,학원,트윙클매쓰학원,서울특별시 송파구 새말로 128,입시.검정 및 보습,보통교과,보통교과,225,20260628,20260802
중구,학원,에스제이첼로앤피아노학원,서울특별시 중구 난계로 159,예능(대),,,0,20260701,20260712
중랑구,학원,씨앗독서논술학원,서울특별시 중랑구 신내로15길 196,입시.검정 및 보습,,,0,20260629,20260705
중랑구,교습소,링키영어양원숲점영어교습소,서울특별시 중랑구 봉화산로 301,국제화,,,0,20260629,20260705
