행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시,X좌표,Y좌표,집계구코드,읍면동
동대문구,학원,대성회계실무학원,서울특별시 동대문구 왕산로 225,종합(대),,"전산회계,컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",404,19681227,20231018,960002.824614471,1953712.10945733,11060800010004,서울특별시_동대문구_청량리동
동대문구,학원,국제전자과학학원,서울특별시 동대문구 고산자로36길 3,직업기술,산업기반기술,"전자,",30,19680210,20231018,959325.594666378,1953453.28846336,11060820020003,서울특별시_동대문구_제기동
동대문구,학원,조이앤플레이음악학원,서울특별시 동대문구 이문로 38,기예(대),기예(중),실용음악(성악),98,19720630,20260201,960861.844652174,1954686.61206193,11060720010011,서울특별시_동대문구_휘경1동
동대문구,학원,한독자동차정비학원,서울특별시 동대문구 왕산로 31,직업기술,산업기반기술,자동차,210,19720501,20260426,958223.131184376,1953171.54501091,11060810050003,서울특별시_동대문구_용신동
중랑구,학원,예맥보습학원,서울특별시 중랑구 동일로151길 30,입시.검정 및 보습,보통교과,보습,0,19881102,20250330,962604.051383473,1956605.99303199,11070650010004,서울특별시_중랑구_묵2동
중랑구,학원,금파음악학원,서울특별시 중랑구 동일로101길 52,예능(대),예능(중),음악,117,19880829,20240908,962660.270838242,1954480.03234605,11070520020018,서울특별시_중랑구_면목2동
동대문구,학원,청담+수학학원,서울특별시 동대문구 한천로 124,입시.검정 및 보습,보통교과,,140,19891209,20240317,961689.50665018,1952609.44050491,11060870020011,서울특별시_동대문구_장안1동
동대문구,학원,더하이스트수학학원,서울특별시 동대문구 사가정로 190,입시.검정 및 보습,보통교과,보습?논술,180,19890619,20260802,961703.643818105,1953291.11323625,11060840010202,서울특별시_동대문구_전농2동
동대문구,학원,미래사관학원,서울특별시 동대문구 천호대로16길 12,입시.검정 및 보습,보통교과,보습,114,19890522,20260329,958600.918543528,1952758.99145988,11060810080001,서울특별시_동대문구_용신동
중랑구,학원,필립학원,서울특별시 중랑구 동일로129길 54,입시.검정 및 보습,보통교과,,210,19890514,20250112,962663.052132589,1955701.91589184,11070620020030,서울특별시_중랑구_중화2동
동대문구,학원,주미음악학원,서울특별시 동대문구 장한로30길 31,예능(대),예능(중),음악,35,19890722,20240317,962369.106624945,1952845.77942783,11060880020009,서울특별시_동대문구_장안2동
동대문구,학원,새암음악학원,서울특별시 동대문구 답십리로72길 118,예능(대),예능(중),음악,441,19890911,20250112,962200.810942968,1952057.75702542,11060870010007,서울특별시_동대문구_장안1동
중랑구,학원,클라라음악학원,서울특별시 중랑구 겸재로3길 22,예능(대),예능(중),음악,90,19890911,20260201,962622.765947237,1954258.71338984,11070520020011,서울특별시_중랑구_면목2동
동대문구,학원,예술의악당음악학원,서울특별시 동대문구 이문로1길 16-3,예능(대),예능(중),"음악,",460,19891005,20250209,960546.895303024,1954506.28510555,11060710010005,서울특별시_동대문구_회기동
동대문구,학원,이엘음악학원,서울특별시 동대문구 천호대로77길 89,예능(대),예능(중),음악,180,19901108,20250518,961433.358328373,1951907.12805786,11060870020010,서울특별시_동대문구_장안1동
동대문구,학원,맨하탄학원,서울특별시 동대문구 황물로 42,입시.검정 및 보습,보통교과,보습,0,19900219,20260215,959934.267971733,1952753.69516165,11060910010003,서울특별시_동대문구_답십리1동
동대문구,학원,한영보습학원,서울특별시 동대문구 답십리로23길 59,입시.검정 및 보습,보통교과,보습,90,19900201,20260712,960252.621494205,1953283.00109887,11060830010010,서울특별시_동대문구_전농1동
동대문구,학원,수학엠플러스학원,서울특별시 동대문구 한천로 165,입시.검정 및 보습,보통교과,"보습,",84,19890601,20250112,961787.700527594,1953015.22249882,11060860010003,서울특별시_동대문구_답십리2동
중랑구,학원,대정보습학원,서울특별시 중랑구 용마산로 389,입시.검정 및 보습,보통교과,"보습,",50,19920605,20260208,964237.448837796,1954197.21464672,11070720010029,서울특별시_중랑구_면목3·8동
동대문구,학원,대우건축토목학원,서울특별시 동대문구 하정로 36,직업기술,산업기반기술,"토목,건축,안전관리,",2310,19900402,20231217,958231.286097017,1952877.47092351,11060810060002,서울특별시_동대문구_용신동
동대문구,학원,진주컴퓨터학원,서울특별시 동대문구 홍릉로15길 43,기타(대),기타(중),"컴퓨터(소),",57,19901231,20250112,959475.776203666,1954076.90415478,11060820020004,서울특별시_동대문구_제기동
동대문구,학원,SDA삼육외국어학원,서울특별시 동대문구 망우로18길 33,종합(대),,"보습,실용외국어(유아/초?중?고)",176,19910604,20260705,961410.404591407,1954396.31127957,11060730020013,서울특별시_동대문구_휘경2동
동대문구,학원,교원더퍼스트캠퍼스학원,서울특별시 동대문구 이문로 65,입시.검정 및 보습,보통교과,보습,132,19921102,20251109,960964.06682083,1954945.44524254,11060890020003,서울특별시_동대문구_이문1동
중랑구,학원,정주피아노학원,서울특별시 중랑구 동일로140길 16,예능(대),예능(중),"음악,",45,19920225,20250112,962934.54552079,1956163.96952707,11070610010018,서울특별시_중랑구_중화1동
동대문구,학원,미시간캠퍼스어학원,서울특별시 동대문구 휘경로 39,국제화,외국어,"실용외국어(유아/초?중?고),",60,19920729,20250112,961535.461263276,1955142.15873389,11060890010006,서울특별시_동대문구_이문1동
중랑구,학원,조숭지음악학원,서울특별시 중랑구 동일로129길 22,예능(대),예능(중),"음악,",45,19920918,20250112,962792.996468239,1955652.03964563,11070620020025,서울특별시_중랑구_중화2동
중랑구,학원,새한음악학원,서울특별시 중랑구 면목로27길 6,예능(대),예능(중),음악,56,19931105,20250112,963349.480156624,1952956.22834896,11070540020021,서울특별시_중랑구_면목4동
중랑구,학원,으뜸학원,서울특별시 중랑구 용마산로 436,입시.검정 및 보습,보통교과,,80,19930619,20260315,964461.136225312,1954605.89877891,11070720010025,서울특별시_중랑구_면목3·8동
동대문구,학원,수재학원,서울특별시 동대문구 답십리로 133,입시.검정 및 보습,보통교과,보습,370,19940706,20241215,960688.594527565,1952721.12334245,11060910020015,서울특별시_동대문구_답십리1동
중랑구,학원,줄리어드음악학원,서울특별시 중랑구 용마산로116길 22,예능(대),예능(중),음악,150,19940302,20260405,964838.09846971,1955616.29072879,11070730020002,서울특별시_중랑구_망우본동
중랑구,학원,미래엔수학삼성영어셀레나서림학원,서울특별시 중랑구 면목로57길 35,종합(대),,"미술,보습",204,19940409,20260308,963479.60002203,1954005.22176439,11070710010034,서울특별시_중랑구_면목본동
동대문구,학원,수정음악학원,서울특별시 동대문구 답십리로66길 99,예능(대),예능(중),음악,60,19940607,20250112,961685.341287421,1952208.35344026,11060870020009,서울특별시_동대문구_장안1동
