field_1,field_2,field_3,field_4
2024,24,cp2_bnu_85,8570
2024,32,cp2_bnu_85,8396
2024,33,cp2_bnu_85,7799
2024,26,cp2_bnu_85,6400
2024,11,cp2_bnu_85,50820
2024,21,cp2_bnu_85,17703
2024,37,cp2_bnu_85,12914
2024,36,cp2_bnu_85,8373
2024,25,cp2_bnu_85,8329
2024,23,cp2_bnu_85,14196
2024,35,cp2_bnu_85,9562
2024,29,cp2_bnu_85,3528
2024,38,cp2_bnu_85,18396
2024,34,cp2_bnu_85,10567
2024,22,cp2_bnu_85,14319
2024,31,cp2_bnu_85,76626
2024,39,cp2_bnu_85,4484
2024,33020,cp2_bnu_85,1118
2024,35580,cp2_bnu_85,168
2024,38090,cp2_bnu_85,1311
2024,36040,cp2_bnu_85,652
2024,22010,cp2_bnu_85,946
2024,34020,cp2_bnu_85,432
2024,33570,cp2_bnu_85,279
2024,37570,cp2_bnu_85,90
2024,33041,cp2_bnu_85,1100
2024,35560,cp2_bnu_85,103
2024,33560,cp2_bnu_85,111
2024,24030,cp2_bnu_85,1515
2024,31060,cp2_bnu_85,1537
2024,32550,cp2_bnu_85,119
2024,38111,cp2_bnu_85,1206
2024,37590,cp2_bnu_85,501
2024,35011,cp2_bnu_85,2207
2024,33530,cp2_bnu_85,157
2024,23060,cp2_bnu_85,2017
2024,23040,cp2_bnu_85,2755
2024,34550,cp2_bnu_85,99
2024,21130,cp2_bnu_85,1115
2024,36660,cp2_bnu_85,183
2024,38570,cp2_bnu_85,108
2024,31052,cp2_bnu_85,1099
2024,21110,cp2_bnu_85,1208
2024,34012,cp2_bnu_85,2439
2024,38100,cp2_bnu_85,2102
2024,11040,cp2_bnu_85,1413
2024,21030,cp2_bnu_85,331
2024,37580,cp2_bnu_85,115
2024,11120,cp2_bnu_85,2014
2024,31180,cp2_bnu_85,1986
2024,31580,cp2_bnu_85,676
2024,11090,cp2_bnu_85,926
2024,38590,cp2_bnu_85,363
2024,31042,cp2_bnu_85,2366
2024,23070,cp2_bnu_85,1052
2024,25010,cp2_bnu_85,861
2024,31092,cp2_bnu_85,1432
2024,36060,cp2_bnu_85,744
2024,32520,cp2_bnu_85,187
2024,32530,cp2_bnu_85,173
2024,31030,cp2_bnu_85,2246
2024,37530,cp2_bnu_85,74
2024,23090,cp2_bnu_85,1459
2024,11240,cp2_bnu_85,3562
2024,38114,cp2_bnu_85,911
2024,37050,cp2_bnu_85,2516
2024,36560,cp2_bnu_85,122
2024,33044,cp2_bnu_85,1018
2024,35040,cp2_bnu_85,536
2024,37550,cp2_bnu_85,118
2024,11160,cp2_bnu_85,2722
2024,34080,cp2_bnu_85,878
2024,31023,cp2_bnu_85,3865
2024,21070,cp2_bnu_85,1324
2024,35020,cp2_bnu_85,1362
2024,33580,cp2_bnu_85,99
2024,33520,cp2_bnu_85,108
2024,11020,cp2_bnu_85,715
2024,31022,cp2_bnu_85,763
2024,34560,cp2_bnu_85,515
2024,21080,cp2_bnu_85,1216
2024,31021,cp2_bnu_85,1207
2024,11220,cp2_bnu_85,3774
2024,31230,cp2_bnu_85,3292
2024,31104,cp2_bnu_85,1939
2024,38030,cp2_bnu_85,2220
2024,24040,cp2_bnu_85,2324
2024,11200,cp2_bnu_85,1737
2024,37060,cp2_bnu_85,482
2024,21040,cp2_bnu_85,373
2024,37620,cp2_bnu_85,201
2024,37030,cp2_bnu_85,694
2024,38530,cp2_bnu_85,219
2024,32040,cp2_bnu_85,471
2024,26010,cp2_bnu_85,1125
2024,22040,cp2_bnu_85,660
2024,31012,cp2_bnu_85,1743
2024,11190,cp2_bnu_85,1890
2024,37560,cp2_bnu_85,150
2024,35510,cp2_bnu_85,517
2024,37012,cp2_bnu_85,1598
2024,38600,cp2_bnu_85,131
2024,35050,cp2_bnu_85,308
2024,36550,cp2_bnu_85,171
2024,37080,cp2_bnu_85,431
2024,37600,cp2_bnu_85,306
2024,11180,cp2_bnu_85,1006
2024,38070,cp2_bnu_85,3341
2024,33590,cp2_bnu_85,143
2024,31150,cp2_bnu_85,2772
2024,31270,cp2_bnu_85,469
2024,21510,cp2_bnu_85,1128
2024,22030,cp2_bnu_85,518
2024,31250,cp2_bnu_85,1751
2024,11070,cp2_bnu_85,1315
2024,37630,cp2_bnu_85,30
2024,23510,cp2_bnu_85,230
2024,38580,cp2_bnu_85,179
2024,38060,cp2_bnu_85,541
2024,34540,cp2_bnu_85,196
2024,31091,cp2_bnu_85,1219
2024,25040,cp2_bnu_85,2448
2024,21010,cp2_bnu_85,176
2024,36520,cp2_bnu_85,92
2024,36610,cp2_bnu_85,172
2024,11060,cp2_bnu_85,1492
2024,21140,cp2_bnu_85,1036
2024,31160,cp2_bnu_85,1447
2024,11170,cp2_bnu_85,1696
2024,11250,cp2_bnu_85,2397
2024,31070,cp2_bnu_85,2861
2024,31280,cp2_bnu_85,456
2024,37610,cp2_bnu_85,77
2024,32560,cp2_bnu_85,237
2024,31051,cp2_bnu_85,2240
2024,24050,cp2_bnu_85,2260
2024,11100,cp2_bnu_85,1204
2024,31103,cp2_bnu_85,2084
2024,31192,cp2_bnu_85,2935
2024,31191,cp2_bnu_85,1325
2024,36650,cp2_bnu_85,125
2024,32010,cp2_bnu_85,1668
2024,21150,cp2_bnu_85,677
2024,36620,cp2_bnu_85,566
2024,35550,cp2_bnu_85,92
2024,34030,cp2_bnu_85,436
2024,36670,cp2_bnu_85,119
2024,36530,cp2_bnu_85,90
2024,26020,cp2_bnu_85,2237
2024,33043,cp2_bnu_85,1528
2024,34040,cp2_bnu_85,1726
2024,38520,cp2_bnu_85,257
2024,37520,cp2_bnu_85,125
2024,32580,cp2_bnu_85,107
2024,32570,cp2_bnu_85,103
2024,11050,cp2_bnu_85,1551
2024,39020,cp2_bnu_85,1173
2024,11080,cp2_bnu_85,2056
2024,34060,cp2_bnu_85,489
2024,33540,cp2_bnu_85,171
2024,38560,cp2_bnu_85,168
2024,24010,cp2_bnu_85,741
2024,31011,cp2_bnu_85,1564
2024,38050,cp2_bnu_85,657
2024,22050,cp2_bnu_85,2240
2024,23520,cp2_bnu_85,50
2024,36570,cp2_bnu_85,237
2024,33550,cp2_bnu_85,340
2024,21020,cp2_bnu_85,439
2024,26510,cp2_bnu_85,1055
2024,35570,cp2_bnu_85,241
2024,37020,cp2_bnu_85,1205
2024,21120,cp2_bnu_85,1142
2024,11140,cp2_bnu_85,2635
2024,31550,cp2_bnu_85,128
2024,21100,cp2_bnu_85,1309
2024,23080,cp2_bnu_85,3334
2024,34580,cp2_bnu_85,195
2024,37011,cp2_bnu_85,1199
2024,21050,cp2_bnu_85,1846
2024,31570,cp2_bnu_85,263
2024,33042,cp2_bnu_85,1011
2024,32030,cp2_bnu_85,1333
2024,37070,cp2_bnu_85,349
2024,22520,cp2_bnu_85,59
2024,34530,cp2_bnu_85,203
2024,34050,cp2_bnu_85,856
2024,36640,cp2_bnu_85,218
2024,36510,cp2_bnu_85,149
2024,34070,cp2_bnu_85,298
2024,32070,cp2_bnu_85,274
2024,36630,cp2_bnu_85,95
2024,25030,cp2_bnu_85,3184
2024,29010,cp2_bnu_85,3528
2024,36020,cp2_bnu_85,1342
2024,34570,cp2_bnu_85,289
2024,31220,cp2_bnu_85,910
2024,31041,cp2_bnu_85,1015
2024,21090,cp2_bnu_85,2538
2024,36010,cp2_bnu_85,1113
2024,11210,cp2_bnu_85,1729
2024,23010,cp2_bnu_85,828
2024,37090,cp2_bnu_85,296
2024,38115,cp2_bnu_85,1074
2024,31200,cp2_bnu_85,2757
2024,25020,cp2_bnu_85,1112
2024,31240,cp2_bnu_85,6443
2024,36580,cp2_bnu_85,132
2024,32050,cp2_bnu_85,203
2024,25050,cp2_bnu_85,724
2024,32020,cp2_bnu_85,2196
2024,34510,cp2_bnu_85,175
2024,11110,cp2_bnu_85,2731
2024,26040,cp2_bnu_85,1276
2024,33030,cp2_bnu_85,616
2024,22060,cp2_bnu_85,3901
2024,31130,cp2_bnu_85,3959
2024,31140,cp2_bnu_85,1195
2024,32540,cp2_bnu_85,190
2024,38510,cp2_bnu_85,84
2024,11010,cp2_bnu_85,1089
2024,35540,cp2_bnu_85,90
2024,31193,cp2_bnu_85,2599
2024,31101,cp2_bnu_85,2749
2024,22510,cp2_bnu_85,1347
2024,31210,cp2_bnu_85,1118
2024,31013,cp2_bnu_85,1107
2024,36030,cp2_bnu_85,1606
2024,38113,cp2_bnu_85,984
2024,11130,cp2_bnu_85,1535
2024,36600,cp2_bnu_85,226
2024,32510,cp2_bnu_85,265
2024,21060,cp2_bnu_85,1845
2024,35012,cp2_bnu_85,2056
2024,31053,cp2_bnu_85,395
2024,36680,cp2_bnu_85,91
2024,35530,cp2_bnu_85,102
2024,22020,cp2_bnu_85,1604
2024,38540,cp2_bnu_85,201
2024,32600,cp2_bnu_85,114
2024,24020,cp2_bnu_85,1730
2024,31080,cp2_bnu_85,351
2024,37100,cp2_bnu_85,1436
2024,11150,cp2_bnu_85,3105
2024,31260,cp2_bnu_85,1289
2024,39010,cp2_bnu_85,3311
2024,35060,cp2_bnu_85,319
2024,26030,cp2_bnu_85,707
2024,31120,cp2_bnu_85,1072
2024,35030,cp2_bnu_85,1383
2024,37040,cp2_bnu_85,866
2024,38550,cp2_bnu_85,152
2024,22070,cp2_bnu_85,3044
2024,32060,cp2_bnu_85,452
2024,37540,cp2_bnu_85,55
2024,31110,cp2_bnu_85,527
2024,38112,cp2_bnu_85,1755
2024,23050,cp2_bnu_85,2283
2024,31014,cp2_bnu_85,2726
2024,31170,cp2_bnu_85,749
2024,11030,cp2_bnu_85,952
2024,23020,cp2_bnu_85,188
2024,34011,cp2_bnu_85,1341
2024,32590,cp2_bnu_85,152
2024,36590,cp2_bnu_85,128
