"X2","X4_합"
"라라0006",0
"라라0007",13
"라라0008",10
"라라0022",15
"라라0023",18
"라라0024",0
"라라0039",0
"라라0040",26
"라라0054",60
"라라0055",91
"라라0056",44
"라라0057",76
"라라0058",120
"라라0059",5
"라라0060",1824
"라라0061",2165
"라라0062",105
"라라0064",88
"라라0065",78
"라라0066",69
"라라0067",31
"라라0068",69
"라라0069",42
"라라0070",19
"라라0071",10
"라라0072",5
"라라0073",0
"라라0074",5
"라라0075",0
"라라0078",18
"라라0079",59
"라라0080",0
"라라0082",18
"라라0083",13
"라라0087",21
"라라0088",23
"라라0089",34
"라라0090",48
"라라0091",21
"라라0096",0
"라라0106",26
"라라0107",5
"라라0125",31
"라라0126",16
"라라0140",21
"라라0153",5
"라라0158",41
"라라0160",741
"라라0161",5215
"라라0162",1770
"라라0163",3058
"라라0164",1901
"라라0165",21
"라라0166",0
"라라0167",10
"라라0168",16
"라라0175",5
"라라0180",12
"라라0182",0
"라라0186",0
"라라0187",21
"라라0188",32
"라라0189",57
"라라0190",60
"라라0191",0
"라라0192",10
"라라0223",0
"라라0246",0
"라라0249",15
"라라0250",29
"라라0251",39
"라라0252",31
"라라0253",63
"라라0254",16
"라라0255",32
"라라0256",10
"라라0257",22
"라라0258",46
"라라0259",80
"라라0260",198
"라라0261",4849
"라라0262",4773
"라라0263",284
"라라0264",29
"라라0265",29
"라라0266",20
"라라0267",18
"라라0280",5
"라라0286",0
"라라0287",13
"라라0288",39
"라라0289",82
"라라0290",13
"라라0291",0
"라라0292",5
"라라0293",5
"라라0294",0
"라라0295",13
"라라0322",0
"라라0323",106
"라라0325",21
"라라0345",41
"라라0346",40
"라라0348",5
"라라0349",13
"라라0350",42
"라라0351",26
"라라0355",66
"라라0356",33
"라라0357",84
"라라0358",44
"라라0359",18
"라라0360",0
"라라0361",45
"라라0362",98
"라라0363",13
"라라0364",31
"라라0366",5
"라라0367",5
"라라0368",5
"라라0382",36
"라라0383",10
"라라0384",18
"라라0386",16
"라라0387",21
"라라0388",29
"라라0389",28
"라라0424",13
"라라0427",11
"라라0432",5
"라라0446",30
"라라0447",21
"라라0448",13
"라라0449",34
"라라0450",15
"라라0451",51
"라라0452",41
"라라0453",18
"라라0454",50
"라라0455",18
"라라0456",11
"라라0457",10
"라라0458",76
"라라0460",24
"라라0461",16
"라라0462",23
"라라0463",28
"라라0464",0
"라라0466",10
"라라0467",79
"라라0468",13
"라라0475",0
"라라0479",5
"라라0480",0
"라라0482",5
"라라0483",0
"라라0484",13
"라라0485",36
"라라0486",41
"라라0487",76
"라라0488",0
"라라0521",13
"라라0522",5
"라라0528",0
"라라0529",51
"라라0530",28
"라라0531",41
"라라0532",5
"라라0533",13
"라라0534",0
"라라0535",24
"라라0536",13
"라라0537",21
"라라0538",5
"라라0540",0
"라라0541",5
"라라0544",18
"라라0545",35
"라라0546",31
"라라0547",18
"라라0548",5
"라라0549",31
"라라0550",56
"라라0552",5
"라라0553",21
"라라0554",84
"라라0555",5
"라라0557",34
"라라0558",26
"라라0559",5
"라라0560",16
"라라0563",700
"라라0565",5
"라라0566",52
"라라0572",21
"라라0573",28
"라라0574",21
"라라0575",26
"라라0583",5
"라라0584",5
"라라0585",18
"라라0588",5
"라라0622",5
"라라0627",13
"라라0628",8
"라라0629",15
"라라0630",18
"라라0631",10
"라라0634",5
"라라0635",33
"라라0636",30
"라라0637",31
"라라0640",15
"라라0641",44
"라라0642",26
"라라0643",13
"라라0644",18
"라라0645",5
"라라0646",0
"라라0648",8
"라라0650",0
"라라0651",0
"라라0652",39
"라라0653",54
"라라0654",64
"라라0655",74
"라라0657",87
"라라0658",15
"라라0659",26
"라라0660",54
"라라0661",41
"라라0662",20
"라라0663",856
"라라0664",26
"라라0665",35
"라라0666",26
"라라0668",10
"라라0670",10
"라라0671",11
"라라0672",21
"라라0673",0
"라라0676",0
"라라0689",13
"라라0690",10
"라라0691",5
"라라0727",5
"라라0728",45
"라라0729",0
"라라0731",0
"라라0732",96
"라라0733",13
"라라0734",16
"라라0735",13
"라라0736",31
"라라0737",24
"라라0738",40
"라라0741",43
"라라0743",34
"라라0745",5
"라라0746",0
"라라0747",5
"라라0752",59
"라라0753",44
"라라0754",291
"라라0757",18
"라라0758",0
"라라0760",36
"라라0761",40
"라라0762",10
"라라0763",1153
"라라0764",1072
"라라0765",1461
"라라0766",65
"라라0767",5
"라라0768",69
"라라0769",18
"라라0770",16
"라라0789",0
"라라0792",13
"라라0793",13
"라라0794",23
"라라0796",18
"라라0828",32
"라라0829",5
"라라0830",10
"라라0832",97
"라라0834",5
"라라0836",22
"라라0837",5
"라라0838",26
"라라0839",10
"라라0840",34
"라라0841",21
"라라0842",42
"라라0844",5
"라라0845",0
"라라0846",18
"라라0850",40
"라라0851",64
"라라0852",41
"라라0853",49
"라라0860",29
"라라0861",56
"라라0862",119
"라라0863",13
"라라0864",1082
"라라0865",195
"라라0866",10
"라라0867",0
"라라0868",33
"라라0869",23
"라라0872",13
"라라0874",0
"라라0877",13
"라라0878",5
"라라0888",8
"라라0889",10
"라라0892",13
"라라0893",18
"라라0894",29
"라라0895",0
"라라0922",28
"라라0923",5
"라라0928",17
"라라0930",0
"라라0932",16
"라라0933",10
"라라0934",16
"라라0936",18
"라라0938",33
"라라0939",18
"라라0940",57
"라라0941",10
"라라0942",29
"라라0943",10
"라라0944",81
"라라0948",0
"라라0949",21
"라라0950",67
"라라0951",43
"라라0961",10
"라라0962",48
"라라0963",29
"라라0964",42
"라라0965",21
"라라0966",39
"라라0967",34
"라라0968",26
"라라0969",10
"라라0971",40
"라라0972",28
"라라0975",5
"라라0976",0
"라라0977",13
"라라0978",0
"라라0982",5
"라라0983",16
"라라0984",10
"라라0988",5
"라라0989",32
"라라0990",0
"라라0991",24
"라라0992",0
"라라0995",5
"라라0996",10
"라라1022",6
"라라1027",29
"라라1031",73
"라라1033",39
"라라1034",65
"라라1035",21
"라라1036",10
"라라1037",68
"라라1038",10
"라라1039",10
"라라1041",5
"라라1042",30
"라라1045",21
"라라1046",62
"라라1047",69
"라라1048",59
"라라1049",78
"라라1050",29
"라라1052",15
"라라1053",31
"라라1054",31
"라라1058",10
"라라1059",55
"라라1061",19
"라라1062",56
"라라1063",0
"라라1064",13
"라라1065",5
"라라1066",20
"라라1067",47
"라라1068",47
"라라1069",41
"라라1070",18
"라라1071",26
"라라1072",60
"라라1074",5
"라라1075",13
"라라1085",21
"라라1087",10
"라라1088",5
"라라1097",13
"라라1098",16
"라라1122",13
"라라1124",8
"라라1125",15
"라라1126",34
"라라1127",57
"라라1129",41
"라라1131",0
"라라1132",21
"라라1133",15
"라라1135",129
"라라1136",13
"라라1137",53
"라라1138",34
"라라1139",65
"라라1140",10
"라라1141",16
"라라1142",5
"라라1143",60
"라라1144",141
"라라1145",53
"라라1146",36
"라라1147",25
"라라1149",39
"라라1153",0
"라라1157",46
"라라1160",21
"라라1161",10
"라라1162",45
"라라1163",34
"라라1164",60
"라라1166",11
"라라1167",40
"라라1168",47
"라라1169",31
"라라1170",41
"라라1171",0
"라라1172",26
"라라1173",5
"라라1174",33
"라라1186",10
"라라1187",16
"라라1188",67
"라라1189",28
"라라1195",0
"라라1196",10
"라라1197",5
"라라1219",5
"라라1224",36
"라라1225",73
"라라1226",13
"라라1227",0
"라라1229",5
"라라1234",26
"라라1235",15
"라라1236",13
"라라1237",23
"라라1238",5
"라라1239",10
"라라1240",0
"라라1241",6
"라라1242",68
"라라1243",66
"라라1244",150
"라라1245",43
"라라1246",10
"라라1249",52
"라라1250",5
"라라1257",5
"라라1261",0
"라라1263",18
"라라1264",13
"라라1283",16
"라라1285",10
"라라1286",18
"라라1287",36
"라라1289",41
"라라1290",51
"라라1291",31
"라라1292",29
"라라1293",51
"라라1294",31
"라라1295",5
"라라1296",15
"라라1299",5
"라라1319",42
"라라1320",10
"라라1322",0
"라라1324",0
"라라1325",5
"라라1326",0
"라라1337",16
"라라1338",532
"라라1339",629
"라라1340",556
"라라1341",1715
"라라1342",391
"라라1343",45
"라라1344",28
"라라1345",28
"라라1357",0
"라라1358",35
"라라1360",5
"라라1361",5
"라라1363",8
"라라1364",24
"라라1365",0
"라라1368",5
"라라1369",23
"라라1382",8
"라라1383",23
"라라1384",23
"라라1385",34
"라라1386",16
"라라1390",16
"라라1391",26
"라라1392",36
"라라1393",13
"라라1394",5
"라라1396",0
"라라1399",26
"라라1419",76
"라라1420",21
"라라1421",0
"라라1422",28
"라라1439",110
"라라1440",975
"라라1441",1148
"라라1442",96
"라라1443",42
"라라1444",5
"라라1457",95
"라라1458",36
"라라1459",21
"라라1460",8
"라라1461",5
"라라1462",23
"라라1464",5
"라라1465",16
"라라1466",0
"라라1467",36
"라라1468",16
"라라1471",5
"라라1472",8
"라라1478",5
"라라1484",18
"라라1485",10
"라라1486",8
"라라1487",15
"라라1488",5
"라라1491",0
"라라1497",10
"라라1519",40
"라라1520",21
"라라1540",2391
"라라1541",670
"라라1542",27
"라라1543",114
"라라1544",24
"라라1558",5
"라라1559",29
"라라1560",5
"라라1562",5
"라라1563",15
"라라1564",21
"라라1565",23
"라라1566",16
"라라1567",15
"라라1568",0
"라라1571",0
"라라1577",8
"라라1582",0
"라라1583",18
"라라1619",0
"라라1639",0
"라라1640",1072
"라라1641",131
"라라1642",5
"라라1643",0
"라라1659",28
"라라1660",190
"라라1661",579
"라라1662",15
"라라1664",23
"라라1665",15
"라라1666",35
"라라1667",38
"라라1668",13
"라라1669",5
"라라1672",0
"라라1673",26
"라라1674",8
"라라1675",21
"라라1676",8
"라라1679",23
"라라1680",10
"라라1681",10
"라라1682",5
"라라1683",13
"라라1684",5
"라라1685",0
"라라1719",28
"라라1721",18
"라라1739",2734
"라라1740",831
"라라1741",1845
"라라1742",0
"라라1743",1018
"라라1759",1738
"라라1760",2338
"라라1761",896
"라라1762",5
"라라1763",0
"라라1764",5
"라라1766",10
"라라1767",21
"라라1768",0
"라라1769",18
"라라1772",23
"라라1773",26
"라라1774",13
"라라1778",31
"라라1779",5
"라라1780",18
"라라1781",34
"라라1783",0
"라라1784",114
"라라1785",20
"라라1786",10
"라라1815",0
"라라1823",24
