도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자
창원중앙도서관,경상남도,창원시,공공도서관,금+1월1일+설 연휴+추석 연휴+기타 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,724,331754,222,19637,5,14,경상남도 창원시 의창구 용호로 50 (반송동),경상남도 창원시청,055-225-7331,17382,5497,https://lib.changwon.go.kr/uc,35.23351196,128.6790493,2024-12-05
성산도서관,경상남도,창원시,공공도서관,금+1월1일+설 연휴+추석 연휴+기타 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,494,132429,118,5151,5,14,경상남도 창원시 성산구 외리로 47(남산동),경상남도 창원시청,055-225-7401,8162,4944,https://lib.changwon.go.kr/ss,35.20206524,128.707232,2024-12-05
상남도서관,경상남도,창원시,공공도서관,월+1월1일+설 연휴+추석 연휴+기타 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,548,182304,125,7352,5,14,경상남도 창원시 성산구 원이대로 810(가음정동),경상남도 창원시청,055-225-7411,11880,3481,https://lib.changwon.go.kr/sn,35.21397009,128.695308,2024-12-05
최윤덕도서관,경상남도,창원시,공공도서관,금+1월1일+설 연휴+추석 연휴+기타 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,463,62145,58,167,5,14,경상남도 창원시 의창구 무동서로 67(북면),경상남도 창원시청,055-225-7991,6363,4468,https://lib.changwon.go.kr/bm,35.3226549,128.5798548,2024-12-05
고향의봄도서관,경상남도,창원시,공공도서관,월+1월1일+설 연휴+추석 연휴+기타 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,414,170417,115,7744,5,14,경상남도 창원시 의창구 평산로 135번길 32 (서상동),경상남도 창원시청,055-225-7371,9122,3753,https://lib.changwon.go.kr/gh,35.256632,128.618549,2024-12-05
명곡도서관,경상남도,창원시,공공도서관,월+1월1일+설 연휴+추석 연휴+기타 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,595,105903,85,3036,5,14,경상남도 창원시 의창구 서곡길 21 (명서동),경상남도 창원시청,055-225-7321,2334,4266,https://lib.changwon.go.kr/mg,35.253149,128.6486524,2024-12-05
마산합포도서관,경상남도,창원시,공공도서관,금+1월1일+설 연휴+추석 연휴+기타 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,616,215782,149,8579,5,14,경상남도 창원시 마산합포구 월영동16길 22(해운동),경상남도 창원시청,055-225-7441,6840,7324,https://lib.changwon.go.kr/hp,35.18329531,128.5626645,2024-12-05
마산회원도서관,경상남도,창원시,공공도서관,월+1월1일+설 연휴+추석 연휴+기타 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,316,197446,206,6739,5,14,경상남도 창원시 마산회원구 3·15대로 558,경상남도 창원시청,055-225-7471,5173,2130,https://lib.changwon.go.kr/hw,35.224594,128.573538,2024-12-05
내서도서관,경상남도,창원시,공공도서관,금+1월1일+설 연휴+추석 연휴+기타 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,222,130629,90,4023,5,14,경상남도 창원시 마산회원구 내서읍 삼풍로 79,경상남도 창원시청,055-225-7481,1702,1054,https://lib.changwon.go.kr/ns,35.232707,128.501223,2024-12-05
중리초등복합시설도서관,경상남도,창원시,공공도서관,일+1월1일+설 연휴+추석 연휴+기타 법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,130,112356,39,0,5,14,경상남도 창원시 마산회원구 내서읍 호계안길 22,경상남도 창원시청,055-225-7492,2334,1058,https://lib.changwon.go.kr/jr,35.25598878,128.5200577,2024-12-05
진해도서관,경상남도,창원시,공공도서관,월+1월1일+설 연휴+추석 연휴+기타 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,431,202132,148,7820,5,14,경상남도 창원시 진해구 충장로 141(여좌동),경상남도 창원시청,055-225-7511,1882,4440,https://lib.changwon.go.kr/jh,35.152457,128.6675064,2024-12-05
동부도서관,경상남도,창원시,공공도서관,금+1월1일+설 연휴+추석 연휴+기타 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,467,153513,163,6426,5,14,경상남도 창원시 진해구 용재로 66(용원동),경상남도 창원시청,055-225-7531,14793,3622,https://lib.changwon.go.kr/db,35.100007,128.817141,2024-12-05
동읍평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:30,00:00,00:00,30,18528,4,54,3,14,경상남도 창원시 의창구 동읍 동읍로 88,동읍주민자치위원회,055-253-7841,,,,35.28436931,128.6827261,2024-12-05
대산평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,14:00,00:00,00:00,82,13306,6,164,3,14,"경상남도 창원시 의창구 대산면 주남로 577, 2층",대산면주민자치위원회,055-291-6457,636,,,35.3353536,128.7082726,2024-12-05
소계평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,14,15067,171,0,2,14,경상남도 창원시 의창구 소계로84번길 7 (민원센터 2층),의창동주민자치위원회,055-297-3452,,,,35.257276,128.5999828,2024-12-05
의창평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,34,16480,13,0,3,15,경상남도 창원시 의창구 읍성로25,의창동주민자치위원회,055-296-5604,747,370,http://blog.naver.com/uichang5604,35.26535133,128.6208171,2024-12-05
천주평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,30,14247,8,256,3,14,경상남도 창원시 의창구 천주로56번길14,의창동주민자치위원회,055-299-3407,155,1331,,35.26623802,128.6171284,2024-12-05
대원평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:30,15:00,00:00,00:00,33,16210,15,0,3,14,경상남도 창원시 의창구 대원로93번길 2(대원동),팔룡동주민자치위원회,055-273-5134,362,823,,35.235035,128.651015,2024-12-05
팔룡평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,15:00,00:00,00:00,13,12311,5,0,3,14,경상남도 창원시 의창구 팔용로 447,팔룡동주민자치위원회,055-255-6536,456,1062,http://cafe.daum.net/Palyong1996,35.256423,128.6135942,2024-12-05
명곡평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,20,13911,5,65,3,14,"경상남도 창원시 의창구 태복산로15번길 8, 명곡동행정복지센터 3층",명곡동주민자치위원회,055-273-8019,309,181,,35.25394074,128.6399252,2024-12-05
명서1평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,30,15000,608,0,3,14,경상남도 창원시 의창구 명지로122번길 20,명곡동새마을협의회,055-273-9765,1048,411,,35.245727,128.6490918,2024-12-05
명서2평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,30,16224,5,0,3,14,경상남도 창원시 의창구 우곡로 101번길 28,명곡동주민자치위원회,055-273-9766,728,362,,35.243378,128.641731,2024-12-05
봉곡평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,38,16041,9,0,5,14,경상남도 창원시 의창구 창이대로165번길 7,경남정보사회연구소,055-265-6086,679,400,http://www.kisingo.or.kr,35.24470896,128.655278,2024-12-05
봉림평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,30,7278,14,265,3,14,경상남도 창원시 의창구 대봉로26번길 5,봉림동주민자치위원회,055-265-9877,3681,628,,35.25192197,128.6675855,2024-12-05
사림평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,45,16400,27,201,3,14,경상남도 창원시 의창구 사림로16번길37,경남정보사회연구소,055-261-1034,665,294,http://www.kisingo.or.kr,35.244886,128.6791999,2024-12-05
신월평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,30,15111,140,0,5,14,경상남도 창원시 의창구 신월로48,(사)창원여성의전화,055-287-0667,,,,35.227648,128.6926044,2024-12-05
용지평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,50,17527,8,1000,3,14,경상남도 창원시 의창구 용지로239번길 19-4,용지동주민자치회,055-261-8477,,,,35.23603518,128.6845091,2024-12-05
반지평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,20,18879,32,192,5,14,경상남도 창원시 성산구 반지로 15번길 16,반지평생교육센터,055-238-7068,1167,684,http://cafe.daum.net/banji.s.e.c,35.241006,128.658776,2024-12-05
