도서관명,시군구명,도서관유형,열람좌석수,자료수(도서),소재지도로명주소,운영기관명,홈페이지주소,위도,경도
창원중앙도서관,창원시,공공도서관,724,331754,경상남도 창원시 의창구 용호로 50 (반송동),경상남도 창원시청,https://lib.changwon.go.kr/uc,35.23351196,128.6790493
성산도서관,창원시,공공도서관,494,132429,경상남도 창원시 성산구 외리로 47(남산동),경상남도 창원시청,https://lib.changwon.go.kr/ss,35.20206524,128.707232
상남도서관,창원시,공공도서관,548,182304,경상남도 창원시 성산구 원이대로 810(가음정동),경상남도 창원시청,https://lib.changwon.go.kr/sn,35.21397009,128.695308
최윤덕도서관,창원시,공공도서관,463,62145,경상남도 창원시 의창구 무동서로 67(북면),경상남도 창원시청,https://lib.changwon.go.kr/bm,35.3226549,128.5798548
고향의봄도서관,창원시,공공도서관,414,170417,경상남도 창원시 의창구 평산로 135번길 32 (서상동),경상남도 창원시청,https://lib.changwon.go.kr/gh,35.256632,128.618549
명곡도서관,창원시,공공도서관,595,105903,경상남도 창원시 의창구 서곡길 21 (명서동),경상남도 창원시청,https://lib.changwon.go.kr/mg,35.253149,128.6486524
마산합포도서관,창원시,공공도서관,616,215782,경상남도 창원시 마산합포구 월영동16길 22(해운동),경상남도 창원시청,https://lib.changwon.go.kr/hp,35.18329531,128.5626645
마산회원도서관,창원시,공공도서관,316,197446,경상남도 창원시 마산회원구 3·15대로 558,경상남도 창원시청,https://lib.changwon.go.kr/hw,35.224594,128.573538
내서도서관,창원시,공공도서관,222,130629,경상남도 창원시 마산회원구 내서읍 삼풍로 79,경상남도 창원시청,https://lib.changwon.go.kr/ns,35.232707,128.501223
중리초등복합시설도서관,창원시,공공도서관,130,112356,경상남도 창원시 마산회원구 내서읍 호계안길 22,경상남도 창원시청,https://lib.changwon.go.kr/jr,35.25598878,128.5200577
진해도서관,창원시,공공도서관,431,202132,경상남도 창원시 진해구 충장로 141(여좌동),경상남도 창원시청,https://lib.changwon.go.kr/jh,35.152457,128.6675064
동부도서관,창원시,공공도서관,467,153513,경상남도 창원시 진해구 용재로 66(용원동),경상남도 창원시청,https://lib.changwon.go.kr/db,35.100007,128.817141
동읍평생교육센터,창원시,작은도서관,30,18528,경상남도 창원시 의창구 동읍 동읍로 88,동읍주민자치위원회,,35.28436931,128.6827261
대산평생교육센터,창원시,작은도서관,82,13306,"경상남도 창원시 의창구 대산면 주남로 577, 2층",대산면주민자치위원회,,35.3353536,128.7082726
소계평생교육센터,창원시,작은도서관,14,15067,경상남도 창원시 의창구 소계로84번길 7 (민원센터 2층),의창동주민자치위원회,,35.257276,128.5999828
의창평생교육센터,창원시,작은도서관,34,16480,경상남도 창원시 의창구 읍성로25,의창동주민자치위원회,http://blog.naver.com/uichang5604,35.26535133,128.6208171
천주평생교육센터,창원시,작은도서관,30,14247,경상남도 창원시 의창구 천주로56번길14,의창동주민자치위원회,,35.26623802,128.6171284
대원평생교육센터,창원시,작은도서관,33,16210,경상남도 창원시 의창구 대원로93번길 2(대원동),팔룡동주민자치위원회,,35.235035,128.651015
팔룡평생교육센터,창원시,작은도서관,13,12311,경상남도 창원시 의창구 팔용로 447,팔룡동주민자치위원회,http://cafe.daum.net/Palyong1996,35.256423,128.6135942
명곡평생교육센터,창원시,작은도서관,20,13911,"경상남도 창원시 의창구 태복산로15번길 8, 명곡동행정복지센터 3층",명곡동주민자치위원회,,35.25394074,128.6399252
명서1평생교육센터,창원시,작은도서관,30,15000,경상남도 창원시 의창구 명지로122번길 20,명곡동새마을협의회,,35.245727,128.6490918
명서2평생교육센터,창원시,작은도서관,30,16224,경상남도 창원시 의창구 우곡로 101번길 28,명곡동주민자치위원회,,35.243378,128.641731
봉곡평생교육센터,창원시,작은도서관,38,16041,경상남도 창원시 의창구 창이대로165번길 7,경남정보사회연구소,http://www.kisingo.or.kr,35.24470896,128.655278
봉림평생교육센터,창원시,작은도서관,30,7278,경상남도 창원시 의창구 대봉로26번길 5,봉림동주민자치위원회,,35.25192197,128.6675855
사림평생교육센터,창원시,작은도서관,45,16400,경상남도 창원시 의창구 사림로16번길37,경남정보사회연구소,http://www.kisingo.or.kr,35.244886,128.6791999
신월평생교육센터,창원시,작은도서관,30,15111,경상남도 창원시 의창구 신월로48,(사)창원여성의전화,,35.227648,128.6926044
용지평생교육센터,창원시,작은도서관,50,17527,경상남도 창원시 의창구 용지로239번길 19-4,용지동주민자치회,,35.23603518,128.6845091
반지평생교육센터,창원시,작은도서관,20,18879,경상남도 창원시 성산구 반지로 15번길 16,반지평생교육센터,http://cafe.daum.net/banji.s.e.c,35.241006,128.658776
내동평생교육센터,창원시,작은도서관,20,17086,경상남도 창원시 성산구 연덕로 184번길35,사)경남여성회,http://www.gnwomen.com,35.217411,128.6695108
중앙평생교육센터,창원시,작은도서관,15,15308,경상남도 창원시 성산구 원이대로580번길 34,(사)지역문화공동체 경남정보사회연구소,http://www.kisingo.or.kr,35.225211,128.677169
상남평생교육센터,창원시,작은도서관,12,14122,경상남도 창원시 성산구 동산로 115,상남동주민자치위원회,,35.21905622,128.6876162
대방평생교육센터,창원시,작은도서관,26,16155,경상남도 창원시 성산구 대정로 142,책사랑창원지부,,35.21014486,128.7092046
사파평생교육센터,창원시,작은도서관,27,16758,경상남도 창원시 성산구 창이대로 706번길 16-23,창원YMCA,,35.2218241,128.698221
가음정평생교육센터,창원시,작은도서관,51,20834,"경상남도 창원시 성산구 원이대로 883번길 15-38(가음동,가음정민원센터 2층)",가음정동주민자치위원회,,35.208574,128.6972162
남산평생교육센터,창원시,작은도서관,20,19528,경상남도 창원시 성산구 가음로 92번길 6(가음동),(사)경남여성회,,35.205109,128.702613
남양평생교육센터,창원시,작은도서관,36,15591,경상남도 창원시 성산구 대정로84,희망나라,http://cafe.daum.net/mcwlnamyang,35.20919855,128.7006329
성주평생교육센터,창원시,작은도서관,36,21982,경상남도 창원시 성산구 공단로 735(성주동),성주동주민자치위원회,,35.18883925,128.6944966
웅남평생교육센터,창원시,작은도서관,25,21186,경상남도 창원시 성산구 신촌로 50,웅남평생교육센터,,35.205316,128.627154
용잠마을도서관,창원시,작은도서관,20,18150,경상남도 창원시 의창구 동읍 용잠로 41,동읍주민자치회,,35.279752,128.688901
자여마을도서관,창원시,작은도서관,36,18399,경상남도 창원시 의창구 동읍 자여로 64,동읍주민자치회,,35.27732449,128.700235
반딧불이도서관,창원시,작은도서관,30,15543,경상남도 창원시 의창구 북면 천주로 1085,북면주민자치회,,35.347947,128.6073132
봉림작은도서관,창원시,작은도서관,27,14645,경상남도 창원시 의창구 창이대로259번길 19(봉곡동),(재)한가람문화재단,,35.24782998,128.666819
용지호수어울림도서관,창원시,작은도서관,20,4391,경상남도 창원시 성산구 용지로211번길 21(용지동),용지동주민자치회,,35.23383362,128.682604
늘푸른도서관,창원시,작은도서관,21,17463,경상남도 창원시 성산구 외동반림로134번길 15(중앙동),중앙동새마을문고회,,35.229753,128.6741132
안민마을도서관,창원시,작은도서관,36,14564,경상남도 창원시 성산구 안민안길 34(안민동),성주동주민자치회,,35.18723721,128.692676
안민청솔마을도서관,창원시,작은도서관,138,15317,경상남도 창원시 성산구 안민로117번길 17(안민동),성주동주민자치회,,35.18740864,128.6897059
반월작은도서관,창원시,작은도서관,30,15541,경상남도 창원시 마산합포구 3·15대로 121(중앙동1가),반월중앙동주민자치회,,35.19036173,128.562451
