연번,시설명,중분류,소분류,지역구,위치,주요시설, 부지면적(제곱미터) ,준공연도(년),주요이용연령층,이용인원(명)_연간,이용인원(명)_월간,이용인원(명)_1일평균,
1,창원국제사격장,체육시설,사격장,의창구,경상남도 창원시 의창구 사림로 99번길 63  (퇴촌동 산 28번지),"사격장, 족구장",145251 ,2018,20~50대,109409 ,9117 ,300 ,
2,의창스포츠센터,체육시설,스포츠센터,의창구,경상남도 창원시 의창구 원이대로56번길 11호,"수영장, 빙상장, 체육관",9916 ,2009,20~50대,762491 ,63541 ,2089 ,
3,창원스포츠파크,체육시설,운동장,성산구,경상남도 창원시 성산구 원이대로 450(중앙동1번지),"주경기장, 육상보조경기장, 창원체육관, 창원롤러스케이트장",369756 ,1993,20~50대,366776 ,30565 ,1005 ,
4,창원실내수영장,체육시설,수영장,성산구,경상남도 창원시 성산구 원이대로 450(중앙동1번지),수영장,39626 ,1997,20~50대,811286 ,67607 ,2223 ,
5,강무정,체육시설,궁도장,성산구,경상남도 창원시 성산구 원이대로 450(중앙동1번지),궁도장,661 ,1990,40~50대,18250 ,1500 ,50 ,
6,시민생활체육관,체육시설,체육관,성산구,경상남도 창원시 성산구 원이대로 692  (상남동),"수영장, 볼링장, 헬스장, 체육관",7616 ,1992,20~50대,972611 ,81051 ,2665 ,
7,창원축구센터,체육시설,축구장,성산구,경상남도 창원시 성산구 비음로 97  (사파정동),"주경기장, 하프돔, 풋살경기장, 보조경기장, 체육관",212087 ,2009,20~50대,414159 ,34513 ,1135 ,
8,성산스포츠센터,체육시설,스포츠센터,성산구,경상남도 창원시 성산구 창이대로 888,"수영장, 빙상장, 체육관",9919 ,2016,20~50대,860106 ,71676 ,2356 ,
9,마산합포스포츠센터,체육시설,스포츠센터,마산합포구,경상남도 창원시 마산합포구 드림베이대로 56 (월영동),"수영장, 헬스장, 체육관",6155 ,2017,20~50대,590265 ,49189 ,1617 ,
10,마산야구센터,체육시설,체육관,마산회원구,경상남도 창원시 마산회원구 삼호로 63 (양덕동),"마산야구장, 마산체육관, 테니스장, 인조잔디구장, 올림픽기념국민생활관, X게임장",186487 ,1988,20~50대,2990200 ,249183 ,8192 ,
11,창원NC파크,체육시설,야구장,마산회원구,경상남도 창원시 마산회원구 삼호로63(양덕동),야구장,48249 ,2019,20~50대,547774 ,45648 ,1501 ,
12,용마정,체육시설,궁도장,마산회원구,경상남도 창원시 마산회원구 양덕서9길 11-5,궁도장,6258 ,1966,40~50대,14600 ,1200 ,40 ,
13,창원시립테니스장,체육시설,테니스장,성산구,경상남도 창원시 성산구 토월동 713,테니스장,66871 ,2006,20~50대,56812 ,4734 ,156 ,
14,덕동시립테니스장,체육시설,테니스장,마산회원구,경상남도 창원시 마산합포구 가포로 789  (덕동동),테니스장,24396 ,2010,20~50대,393 ,33 ,1 ,
15,내서 스포츠센터,체육시설,스포츠센터,마산회원구,경상남도 창원시 마산회원구 내서읍 호원로 177,"체육관, 수영장, 풋살장",6429 ,2020,20~50대,423404 ,35284 ,1160 ,
16,내서 어린이체육관,체육시설,스포츠센터,마산회원구,경상남도 창원시 마산회원구 내서읍 호원로 185,스포츠센터,3534 ,2021,영유아,13979 ,1165 ,38 ,
17,진해국민체육센터,체육시설,스포츠센터,진해구,경상남도 창원시 진해구 석동로 66  (석동),"수영장, 헬스장, 다목적체육관",10060 ,2002,20~50대,187331 ,15611 ,513 ,
18,진해공설운동장,체육시설,운동장,진해구,경상남도 창원시 진해구 도만동 15-1,"축구장, 육상경기장, 야구장",61883 ,2008,20~50대,24153 ,2013 ,66 ,
19,용원국민체육센터,체육시설,스포츠센터,진해구,경상남도 창원시 진해구 안청로 95,"수영장, 헬스장",18143 ,2017,20~50대,235177 ,19598 ,644 ,
20,동읍주민운동장,체육시설,운동장,의창구,경상남도 창원시 의창구 동읍 용잠리 662,"축구, 테니스, 농구, 족구, 다목적구장",30092 ,2012,전연령대,18250 ,1521 ,50 ,
21,동읍실내체육관,체육시설,운동장,의창구,경상남도 창원시 의창구 동읍 의창대로 920-7,"축구, 실내체육관",10836 ,1997,성인,1000 ,83 ,30 ,
22,북면공설운동장,체육시설,운동장,의창구,경상남도 창원시 의창구 북면 마산리 1285,"축구, 테니스, 농구, 족구, 게이트볼",31800 ,1995,전연령대,18250 ,1521 ,50 ,
23,대산갈전운동장,체육시설,운동장,의창구,경상남도 창원시 의창구 대산면 갈전로 81-7,"축구, 족구, 게이트볼, 배드민턴, 풋살",17153 ,1997,전연령대,7300 ,608 ,20 ,
24,천주운동장,체육시설,운동장,의창구,경상남도 창원시 의창구 소계동 422-1,"족구, 배드민턴, 배구",4555 ,1994,전연령대,10950 ,913 ,30 ,
25,소계체육공원,체육시설,운동장,의창구,경상남도 창원시 의창구 소계동 791-3,"축구, 테니스, 농구, 족구",36747 ,2003,전연령대,36500 ,3042 ,100 ,
