field_1,field_2,field_3,field_4
2024,마라0035,cp2_bnu_35,0
2024,마라0035,cp2_bnu_47,0
2024,마라0035,cp2_bnu_55,8
2024,마라0035,cp2_bnu_56,3
2024,마라0035,cp2_bnu_94,3
2024,마라0036,cp2_bnu_94,0
2024,마라0037,cp2_bnu_46,3
2024,마라0037,cp2_bnu_47,3
2024,마라0037,cp2_bnu_55,9
2024,마라0037,cp2_bnu_56,3
2024,마라0041,cp2_bnu_35,5
2024,마라0041,cp2_bnu_42,0
2024,마라0041,cp2_bnu_47,0
2024,마라0041,cp2_bnu_55,3
2024,마라0041,cp2_bnu_68,0
2024,마라0041,cp2_bnu_91,0
2024,마라0041,cp2_bnu_94,0
2024,마라0042,cp2_bnu_35,3
2024,마라0042,cp2_bnu_46,3
2024,마라0042,cp2_bnu_55,0
2024,마라0042,cp2_bnu_91,0
2024,마라0043,cp2_bnu_35,5
2024,마라0043,cp2_bnu_55,3
2024,마라0043,cp2_bnu_56,0
2024,마라0043,cp2_bnu_85,3
2024,마라0043,cp2_bnu_94,3
2024,마라0044,cp2_bnu_07,0
2024,마라0045,cp2_bnu_47,0
2024,마라0045,cp2_bnu_56,0
2024,마라0046,cp2_bnu_10,3
2024,마라0046,cp2_bnu_42,3
2024,마라0046,cp2_bnu_46,3
2024,마라0046,cp2_bnu_55,0
2024,마라0046,cp2_bnu_72,0
2024,마라0046,cp2_bnu_75,3
2024,마라0046,cp2_bnu_86,0
2024,마라0046,cp2_bnu_87,0
2024,마라0046,cp2_bnu_94,0
2024,마라0047,cp2_bnu_46,3
2024,마라0047,cp2_bnu_47,3
2024,마라0047,cp2_bnu_56,0
2024,마라0047,cp2_bnu_85,0
2024,마라0047,cp2_bnu_91,0
2024,마라0047,cp2_bnu_94,3
2024,마라0048,cp2_bnu_47,3
2024,마라0048,cp2_bnu_90,3
2024,마라0049,cp2_bnu_23,0
2024,마라0049,cp2_bnu_42,3
2024,마라0049,cp2_bnu_46,5
2024,마라0049,cp2_bnu_47,8
2024,마라0049,cp2_bnu_49,3
2024,마라0049,cp2_bnu_56,3
2024,마라0049,cp2_bnu_68,0
2024,마라0049,cp2_bnu_72,0
2024,마라0049,cp2_bnu_91,0
2024,마라0049,cp2_bnu_94,3
2024,마라0049,cp2_bnu_96,0
2024,마라0050,cp2_bnu_10,3
2024,마라0050,cp2_bnu_35,0
2024,마라0050,cp2_bnu_46,3
2024,마라0050,cp2_bnu_56,3
2024,마라0050,cp2_bnu_94,0
2024,마라0051,cp2_bnu_42,0
2024,마라0051,cp2_bnu_46,0
2024,마라0051,cp2_bnu_47,0
2024,마라0051,cp2_bnu_85,0
2024,마라0051,cp2_bnu_91,0
2024,마라0051,cp2_bnu_94,5
2024,마라0052,cp2_bnu_47,0
2024,마라0052,cp2_bnu_73,3
2024,마라0052,cp2_bnu_94,0
2024,마라0055,cp2_bnu_25,3
2024,마라0055,cp2_bnu_27,0
2024,마라0055,cp2_bnu_29,0
2024,마라0055,cp2_bnu_31,8
2024,마라0055,cp2_bnu_41,3
2024,마라0055,cp2_bnu_42,11
2024,마라0055,cp2_bnu_45,5
2024,마라0055,cp2_bnu_46,5
2024,마라0055,cp2_bnu_47,23
2024,마라0055,cp2_bnu_49,5
2024,마라0055,cp2_bnu_55,3
2024,마라0055,cp2_bnu_56,70
2024,마라0055,cp2_bnu_58,0
2024,마라0055,cp2_bnu_62,0
2024,마라0055,cp2_bnu_68,11
2024,마라0055,cp2_bnu_71,0
2024,마라0055,cp2_bnu_72,11
2024,마라0055,cp2_bnu_75,5
2024,마라0055,cp2_bnu_84,0
2024,마라0055,cp2_bnu_85,11
2024,마라0055,cp2_bnu_87,3
2024,마라0055,cp2_bnu_91,5
2024,마라0055,cp2_bnu_94,5
2024,마라0055,cp2_bnu_95,3
2024,마라0055,cp2_bnu_96,11
2024,마라0056,cp2_bnu_13,0
2024,마라0056,cp2_bnu_25,19
2024,마라0056,cp2_bnu_31,149
2024,마라0056,cp2_bnu_34,3
2024,마라0056,cp2_bnu_38,0
2024,마라0056,cp2_bnu_42,32
2024,마라0056,cp2_bnu_47,3
2024,마라0056,cp2_bnu_52,3
2024,마라0056,cp2_bnu_56,0
2024,마라0056,cp2_bnu_72,5
2024,마라0056,cp2_bnu_75,75
2024,마라0056,cp2_bnu_94,0
2024,마라0056,cp2_bnu_95,0
2024,마라0059,cp2_bnu_20,3
2024,마라0059,cp2_bnu_24,0
2024,마라0059,cp2_bnu_25,4
2024,마라0059,cp2_bnu_31,16
2024,마라0059,cp2_bnu_42,0
2024,마라0059,cp2_bnu_52,3
2024,마라0059,cp2_bnu_65,0
2024,마라0059,cp2_bnu_75,3
2024,마라0060,cp2_bnu_10,3
2024,마라0060,cp2_bnu_31,13
2024,마라0060,cp2_bnu_34,3
2024,마라0060,cp2_bnu_42,3
2024,마라0060,cp2_bnu_45,3
2024,마라0060,cp2_bnu_46,3
2024,마라0060,cp2_bnu_47,5
2024,마라0060,cp2_bnu_56,11
2024,마라0060,cp2_bnu_68,3
2024,마라0060,cp2_bnu_70,0
2024,마라0060,cp2_bnu_72,3
2024,마라0060,cp2_bnu_74,3
2024,마라0060,cp2_bnu_75,7
2024,마라0060,cp2_bnu_86,0
2024,마라0060,cp2_bnu_90,3
2024,마라0060,cp2_bnu_94,0
2024,마라0061,cp2_bnu_25,9
2024,마라0061,cp2_bnu_31,35
2024,마라0061,cp2_bnu_42,5
2024,마라0061,cp2_bnu_55,3
2024,마라0061,cp2_bnu_56,3
2024,마라0061,cp2_bnu_72,0
2024,마라0061,cp2_bnu_75,9
2024,마라0061,cp2_bnu_94,0
2024,마라0062,cp2_bnu_35,3
2024,마라0062,cp2_bnu_55,5
2024,마라0062,cp2_bnu_56,5
2024,마라0062,cp2_bnu_68,3
2024,마라0062,cp2_bnu_94,3
2024,마라0063,cp2_bnu_31,5
2024,마라0063,cp2_bnu_55,0
2024,마라0063,cp2_bnu_56,0
2024,마라0075,cp2_bnu_46,0
2024,마라0075,cp2_bnu_47,3
2024,마라0075,cp2_bnu_56,3
2024,마라0075,cp2_bnu_94,0
2024,마라0076,cp2_bnu_10,3
2024,마라0076,cp2_bnu_29,3
2024,마라0076,cp2_bnu_34,3
2024,마라0076,cp2_bnu_41,3
2024,마라0076,cp2_bnu_47,3
2024,마라0076,cp2_bnu_56,5
2024,마라0076,cp2_bnu_91,0
2024,마라0077,cp2_bnu_94,0
2024,마라0079,cp2_bnu_10,0
2024,마라0079,cp2_bnu_31,0
2024,마라0079,cp2_bnu_38,3
2024,마라0079,cp2_bnu_45,3
2024,마라0079,cp2_bnu_46,0
2024,마라0079,cp2_bnu_47,3
2024,마라0079,cp2_bnu_55,3
2024,마라0079,cp2_bnu_56,3
2024,마라0079,cp2_bnu_94,0
2024,마라0080,cp2_bnu_10,0
2024,마라0080,cp2_bnu_28,0
2024,마라0080,cp2_bnu_42,0
2024,마라0080,cp2_bnu_55,3
