field_1,field_2,field_3,field_4
"2024",마라0043,cp2_bnu_85,"3"
"2024",마라0047,cp2_bnu_85,"0"
"2024",마라0051,cp2_bnu_85,"0"
"2024",마라0055,cp2_bnu_85,"11"
"2024",마라0085,cp2_bnu_85,"0"
"2024",마라0086,cp2_bnu_85,"3"
"2024",마라0091,cp2_bnu_85,"3"
"2024",마라0092,cp2_bnu_85,"3"
"2024",마라0094,cp2_bnu_85,"5"
"2024",마라0095,cp2_bnu_85,"20"
"2024",마라0096,cp2_bnu_85,"15"
"2024",마라0137,cp2_bnu_85,"5"
"2024",마라0147,cp2_bnu_85,"3"
"2024",마라0148,cp2_bnu_85,"0"
"2024",마라0154,cp2_bnu_85,"3"
"2024",마라0155,cp2_bnu_85,"71"
"2024",마라0156,cp2_bnu_85,"5"
"2024",마라0185,cp2_bnu_85,"0"
"2024",마라0194,cp2_bnu_85,"0"
"2024",마라0195,cp2_bnu_85,"52"
"2024",마라0196,cp2_bnu_85,"124"
"2024",마라0197,cp2_bnu_85,"17"
"2024",마라0247,cp2_bnu_85,"0"
"2024",마라0254,cp2_bnu_85,"45"
"2024",마라0255,cp2_bnu_85,"56"
"2024",마라0256,cp2_bnu_85,"20"
"2024",마라0257,cp2_bnu_85,"3"
"2024",마라0259,cp2_bnu_85,"3"
"2024",마라0266,cp2_bnu_85,"3"
"2024",마라0289,cp2_bnu_85,"16"
"2024",마라0290,cp2_bnu_85,"8"
"2024",마라0294,cp2_bnu_85,"0"
"2024",마라0295,cp2_bnu_85,"8"
"2024",마라0296,cp2_bnu_85,"211"
"2024",마라0297,cp2_bnu_85,"28"
"2024",마라0338,cp2_bnu_85,"0"
"2024",마라0352,cp2_bnu_85,"89"
"2024",마라0353,cp2_bnu_85,"50"
"2024",마라0354,cp2_bnu_85,"8"
"2024",마라0355,cp2_bnu_85,"38"
"2024",마라0356,cp2_bnu_85,"89"
"2024",마라0367,cp2_bnu_85,"3"
"2024",마라0392,cp2_bnu_85,"0"
"2024",마라0393,cp2_bnu_85,"5"
"2024",마라0394,cp2_bnu_85,"5"
"2024",마라0395,cp2_bnu_85,"36"
"2024",마라0396,cp2_bnu_85,"117"
"2024",마라0397,cp2_bnu_85,"0"
"2024",마라0442,cp2_bnu_85,"0"
"2024",마라0451,cp2_bnu_85,"3"
"2024",마라0452,cp2_bnu_85,"52"
"2024",마라0453,cp2_bnu_85,"12"
"2024",마라0455,cp2_bnu_85,"159"
"2024",마라0456,cp2_bnu_85,"25"
"2024",마라0457,cp2_bnu_85,"3"
"2024",마라0458,cp2_bnu_85,"3"
"2024",마라0463,cp2_bnu_85,"0"
"2024",마라0465,cp2_bnu_85,"0"
"2024",마라0493,cp2_bnu_85,"66"
"2024",마라0494,cp2_bnu_85,"37"
"2024",마라0495,cp2_bnu_85,"35"
"2024",마라0496,cp2_bnu_85,"3"
"2024",마라0551,cp2_bnu_85,"3"
"2024",마라0552,cp2_bnu_85,"8"
"2024",마라0553,cp2_bnu_85,"20"
"2024",마라0554,cp2_bnu_85,"0"
"2024",마라0555,cp2_bnu_85,"3"
"2024",마라0558,cp2_bnu_85,"5"
"2024",마라0562,cp2_bnu_85,"5"
"2024",마라0563,cp2_bnu_85,"3"
"2024",마라0583,cp2_bnu_85,"3"
"2024",마라0584,cp2_bnu_85,"57"
"2024",마라0585,cp2_bnu_85,"25"
"2024",마라0586,cp2_bnu_85,"3"
"2024",마라0590,cp2_bnu_85,"3"
"2024",마라0592,cp2_bnu_85,"14"
"2024",마라0593,cp2_bnu_85,"11"
"2024",마라0594,cp2_bnu_85,"21"
"2024",마라0595,cp2_bnu_85,"18"
"2024",마라0652,cp2_bnu_85,"3"
"2024",마라0656,cp2_bnu_85,"3"
"2024",마라0657,cp2_bnu_85,"0"
"2024",마라0658,cp2_bnu_85,"0"
"2024",마라0683,cp2_bnu_85,"3"
"2024",마라0684,cp2_bnu_85,"17"
"2024",마라0685,cp2_bnu_85,"3"
"2024",마라0691,cp2_bnu_85,"5"
"2024",마라0692,cp2_bnu_85,"12"
"2024",마라0693,cp2_bnu_85,"165"
"2024",마라0694,cp2_bnu_85,"78"
"2024",마라0695,cp2_bnu_85,"54"
"2024",마라0752,cp2_bnu_85,"3"
"2024",마라0753,cp2_bnu_85,"50"
"2024",마라0758,cp2_bnu_85,"0"
"2024",마라0766,cp2_bnu_85,"0"
"2024",마라0767,cp2_bnu_85,"3"
"2024",마라0784,cp2_bnu_85,"0"
"2024",마라0785,cp2_bnu_85,"22"
"2024",마라0791,cp2_bnu_85,"36"
"2024",마라0792,cp2_bnu_85,"206"
"2024",마라0793,cp2_bnu_85,"126"
"2024",마라0794,cp2_bnu_85,"62"
"2024",마라0795,cp2_bnu_85,"29"
"2024",마라0798,cp2_bnu_85,"12"
"2024",마라0799,cp2_bnu_85,"8"
"2024",마라0849,cp2_bnu_85,"3"
"2024",마라0852,cp2_bnu_85,"30"
"2024",마라0853,cp2_bnu_85,"80"
"2024",마라0854,cp2_bnu_85,"3"
"2024",마라0855,cp2_bnu_85,"25"
"2024",마라0856,cp2_bnu_85,"60"
"2024",마라0857,cp2_bnu_85,"5"
"2024",마라0883,cp2_bnu_85,"0"
"2024",마라0884,cp2_bnu_85,"8"
"2024",마라0885,cp2_bnu_85,"75"
"2024",마라0888,cp2_bnu_85,"41"
"2024",마라0889,cp2_bnu_85,"0"
"2024",마라0890,cp2_bnu_85,"15"
"2024",마라0891,cp2_bnu_85,"91"
"2024",마라0892,cp2_bnu_85,"205"
"2024",마라0893,cp2_bnu_85,"32"
"2024",마라0894,cp2_bnu_85,"23"
"2024",마라0895,cp2_bnu_85,"5"
"2024",마라0898,cp2_bnu_85,"11"
"2024",마라0946,cp2_bnu_85,"0"
"2024",마라0948,cp2_bnu_85,"5"
"2024",마라0949,cp2_bnu_85,"5"
"2024",마라0950,cp2_bnu_85,"5"
"2024",마라0952,cp2_bnu_85,"5"
"2024",마라0953,cp2_bnu_85,"3"
"2024",마라0955,cp2_bnu_85,"5"
"2024",마라0956,cp2_bnu_85,"50"
"2024",마라0957,cp2_bnu_85,"3"
"2024",마라0958,cp2_bnu_85,"5"
"2024",마라0981,cp2_bnu_85,"3"
"2024",마라0982,cp2_bnu_85,"94"
"2024",마라0983,cp2_bnu_85,"86"
"2024",마라0984,cp2_bnu_85,"41"
"2024",마라0985,cp2_bnu_85,"101"
"2024",마라0990,cp2_bnu_85,"84"
"2024",마라0991,cp2_bnu_85,"211"
"2024",마라0992,cp2_bnu_85,"47"
"2024",마라0993,cp2_bnu_85,"11"
"2024",마라0994,cp2_bnu_85,"5"
"2024",마라0998,cp2_bnu_85,"26"
"2024",마라1048,cp2_bnu_85,"8"
"2024",마라1057,cp2_bnu_85,"3"
"2024",마라1069,cp2_bnu_85,"0"
"2024",마라1081,cp2_bnu_85,"0"
"2024",마라1082,cp2_bnu_85,"23"
"2024",마라1083,cp2_bnu_85,"32"
"2024",마라1084,cp2_bnu_85,"43"
"2024",마라1085,cp2_bnu_85,"52"
"2024",마라1089,cp2_bnu_85,"43"
"2024",마라1090,cp2_bnu_85,"97"
"2024",마라1091,cp2_bnu_85,"17"
"2024",마라1092,cp2_bnu_85,"3"
"2024",마라1099,cp2_bnu_85,"0"
"2024",마라1151,cp2_bnu_85,"3"
"2024",마라1152,cp2_bnu_85,"11"
"2024",마라1153,cp2_bnu_85,"5"
"2024",마라1160,cp2_bnu_85,"3"
"2024",마라1161,cp2_bnu_85,"3"
"2024",마라1180,cp2_bnu_85,"0"
"2024",마라1184,cp2_bnu_85,"20"
"2024",마라1185,cp2_bnu_85,"5"
"2024",마라1189,cp2_bnu_85,"0"
"2024",마라1251,cp2_bnu_85,"0"
"2024",마라1252,cp2_bnu_85,"0"
"2024",마라1253,cp2_bnu_85,"31"
"2024",마라1254,cp2_bnu_85,"13"
"2024",마라1296,cp2_bnu_85,"0"
"2024",마라1354,cp2_bnu_85,"3"
"2024",마라1379,cp2_bnu_85,"3"
"2024",마라1380,cp2_bnu_85,"5"
"2024",마라1395,cp2_bnu_85,"3"
"2024",마라1479,cp2_bnu_85,"74"
"2024",마라1493,cp2_bnu_85,"3"
"2024",마라1495,cp2_bnu_85,"9"
"2024",마라1496,cp2_bnu_85,"3"
"2024",마라1680,cp2_bnu_85,"0"
"2024",마라1681,cp2_bnu_85,"9"
"2024",마라1682,cp2_bnu_85,"5"
"2024",마라1780,cp2_bnu_85,"0"
"2024",마라1781,cp2_bnu_85,"5"
"2024",마라1782,cp2_bnu_85,"3"
"2024",마라1787,cp2_bnu_85,"88"
"2024",마라1788,cp2_bnu_85,"14"
"2024",마라1789,cp2_bnu_85,"37"
"2024",마라1790,cp2_bnu_85,"8"
"2024",마라1877,cp2_bnu_85,"5"
"2024",마라1878,cp2_bnu_85,"5"
"2024",마라1879,cp2_bnu_85,"43"
"2024",마라1880,cp2_bnu_85,"5"
"2024",마라1886,cp2_bnu_85,"3"
"2024",마라1887,cp2_bnu_85,"48"
"2024",마라1888,cp2_bnu_85,"61"
"2024",마라1889,cp2_bnu_85,"158"
"2024",마라1890,cp2_bnu_85,"112"
"2024",마라1891,cp2_bnu_85,"8"
"2024",마라1971,cp2_bnu_85,"5"
"2024",마라1972,cp2_bnu_85,"3"
"2024",마라1977,cp2_bnu_85,"45"
"2024",마라1978,cp2_bnu_85,"9"
"2024",마라1979,cp2_bnu_85,"134"
"2024",마라1986,cp2_bnu_85,"61"
"2024",마라1987,cp2_bnu_85,"347"
"2024",마라1989,cp2_bnu_85,"57"
"2024",마라1990,cp2_bnu_85,"169"
"2024",마라1992,cp2_bnu_85,"3"
"2024",마라1999,cp2_bnu_85,"0"
"2024",마라2077,cp2_bnu_85,"0"
"2024",마라2078,cp2_bnu_85,"0"
"2024",마라2079,cp2_bnu_85,"5"
"2024",마라2086,cp2_bnu_85,"155"
"2024",마라2087,cp2_bnu_85,"92"
"2024",마라2088,cp2_bnu_85,"0"
"2024",마라2089,cp2_bnu_85,"3"
"2024",마라2090,cp2_bnu_85,"0"
"2024",마라2094,cp2_bnu_85,"3"
"2024",마라2098,cp2_bnu_85,"0"
"2024",마라2173,cp2_bnu_85,"5"
"2024",마라2184,cp2_bnu_85,"45"
"2024",마라2185,cp2_bnu_85,"0"
"2024",마라2186,cp2_bnu_85,"18"
"2024",마라2187,cp2_bnu_85,"3"
"2024",마라2190,cp2_bnu_85,"0"
"2024",마라2191,cp2_bnu_85,"0"
"2024",마라2193,cp2_bnu_85,"70"
"2024",마라2194,cp2_bnu_85,"24"
"2024",마라2195,cp2_bnu_85,"0"
"2024",마라2198,cp2_bnu_85,"0"
"2024",마라2279,cp2_bnu_85,"3"
"2024",마라2282,cp2_bnu_85,"3"
"2024",마라2284,cp2_bnu_85,"8"
"2024",마라2287,cp2_bnu_85,"3"
"2024",마라2289,cp2_bnu_85,"3"
"2024",마라2290,cp2_bnu_85,"3"
"2024",마라2291,cp2_bnu_85,"5"
"2024",마라2292,cp2_bnu_85,"0"
"2024",마라2293,cp2_bnu_85,"58"
"2024",마라2294,cp2_bnu_85,"5"
"2024",마라2298,cp2_bnu_85,"0"
"2024",마라2391,cp2_bnu_85,"3"
"2024",마라2392,cp2_bnu_85,"3"
"2024",마라2393,cp2_bnu_85,"38"
"2024",마라2394,cp2_bnu_85,"57"
"2024",마라2395,cp2_bnu_85,"10"
"2024",마라2396,cp2_bnu_85,"3"
"2024",마라2397,cp2_bnu_85,"9"
"2024",마라2398,cp2_bnu_85,"26"
"2024",마라2489,cp2_bnu_85,"0"
"2024",마라2492,cp2_bnu_85,"8"
"2024",마라2493,cp2_bnu_85,"111"
"2024",마라2494,cp2_bnu_85,"192"
"2024",마라2495,cp2_bnu_85,"68"
"2024",마라2496,cp2_bnu_85,"129"
"2024",마라2497,cp2_bnu_85,"201"
"2024",마라2498,cp2_bnu_85,"46"
"2024",마라2577,cp2_bnu_85,"74"
"2024",마라2592,cp2_bnu_85,"5"
"2024",마라2593,cp2_bnu_85,"51"
"2024",마라2594,cp2_bnu_85,"38"
"2024",마라2595,cp2_bnu_85,"14"
"2024",마라2596,cp2_bnu_85,"5"
"2024",마라2597,cp2_bnu_85,"8"
"2024",마라2680,cp2_bnu_85,"5"
"2024",마라2681,cp2_bnu_85,"3"
"2024",마라2693,cp2_bnu_85,"24"
"2024",마라2694,cp2_bnu_85,"26"
"2024",마라2776,cp2_bnu_85,"3"
"2024",마라2777,cp2_bnu_85,"231"
"2024",마라2778,cp2_bnu_85,"28"
"2024",마라2781,cp2_bnu_85,"0"
"2024",마라2788,cp2_bnu_85,"0"
"2024",마라2789,cp2_bnu_85,"3"
