field_1,field_2,field_3,field_4
2023,38,cp2_bnu_85,"17970"
2023,31,cp2_bnu_85,"72613"
2023,22,cp2_bnu_85,"13920"
2023,24,cp2_bnu_85,"8336"
2023,35,cp2_bnu_85,"9388"
2023,25,cp2_bnu_85,"7952"
2023,36,cp2_bnu_85,"8125"
2023,11,cp2_bnu_85,"49218"
2023,32,cp2_bnu_85,"8184"
2023,21,cp2_bnu_85,"17174"
2023,34,cp2_bnu_85,"10180"
2023,33,cp2_bnu_85,"7567"
2023,26,cp2_bnu_85,"6280"
2023,29,cp2_bnu_85,"3215"
2023,37,cp2_bnu_85,"12585"
2023,23,cp2_bnu_85,"13280"
2023,39,cp2_bnu_85,"4218"
2023,36670,cp2_bnu_85,"110"
2023,33560,cp2_bnu_85,"113"
2023,23040,cp2_bnu_85,"2518"
2023,23080,cp2_bnu_85,"3013"
2023,38050,cp2_bnu_85,"663"
2023,11250,cp2_bnu_85,"2280"
2023,31270,cp2_bnu_85,"464"
2023,35530,cp2_bnu_85,"99"
2023,37090,cp2_bnu_85,"293"
2023,31180,cp2_bnu_85,"1816"
2023,21060,cp2_bnu_85,"1746"
2023,31013,cp2_bnu_85,"1061"
2023,21120,cp2_bnu_85,"1051"
2023,36530,cp2_bnu_85,"97"
2023,37570,cp2_bnu_85,"91"
2023,31014,cp2_bnu_85,"2545"
2023,33020,cp2_bnu_85,"1078"
2023,37540,cp2_bnu_85,"49"
2023,11200,cp2_bnu_85,"1692"
2023,37520,cp2_bnu_85,"117"
2023,31192,cp2_bnu_85,"2712"
2023,32610,cp2_bnu_85,"206"
2023,35540,cp2_bnu_85,"78"
2023,38111,cp2_bnu_85,"1176"
2023,23090,cp2_bnu_85,"1340"
2023,36550,cp2_bnu_85,"170"
2023,21150,cp2_bnu_85,"681"
2023,31060,cp2_bnu_85,"1499"
2023,31580,cp2_bnu_85,"618"
2023,38114,cp2_bnu_85,"891"
2023,31022,cp2_bnu_85,"769"
2023,31103,cp2_bnu_85,"2023"
2023,37620,cp2_bnu_85,"193"
2023,33044,cp2_bnu_85,"989"
2023,31250,cp2_bnu_85,"1642"
2023,22020,cp2_bnu_85,"1618"
2023,22040,cp2_bnu_85,"643"
2023,22520,cp2_bnu_85,"58"
2023,24040,cp2_bnu_85,"2256"
2023,38090,cp2_bnu_85,"1266"
2023,11120,cp2_bnu_85,"1983"
2023,26020,cp2_bnu_85,"2212"
2023,37600,cp2_bnu_85,"290"
2023,31023,cp2_bnu_85,"3732"
2023,22050,cp2_bnu_85,"2192"
2023,21100,cp2_bnu_85,"1311"
2023,38115,cp2_bnu_85,"1062"
2023,32580,cp2_bnu_85,"107"
2023,37580,cp2_bnu_85,"114"
2023,11040,cp2_bnu_85,"1364"
2023,38550,cp2_bnu_85,"152"
2023,31052,cp2_bnu_85,"1046"
2023,11070,cp2_bnu_85,"1244"
2023,11140,cp2_bnu_85,"2535"
2023,38520,cp2_bnu_85,"253"
2023,36020,cp2_bnu_85,"1304"
2023,33043,cp2_bnu_85,"1407"
2023,21140,cp2_bnu_85,"998"
2023,36640,cp2_bnu_85,"209"
2023,38113,cp2_bnu_85,"974"
2023,36570,cp2_bnu_85,"230"
2023,11220,cp2_bnu_85,"3504"
2023,36630,cp2_bnu_85,"92"
2023,33540,cp2_bnu_85,"175"
2023,37012,cp2_bnu_85,"1558"
2023,21010,cp2_bnu_85,"180"
2023,11170,cp2_bnu_85,"1682"
2023,36060,cp2_bnu_85,"701"
2023,31051,cp2_bnu_85,"2152"
2023,38530,cp2_bnu_85,"221"
2023,11150,cp2_bnu_85,"3048"
2023,38580,cp2_bnu_85,"177"
2023,36680,cp2_bnu_85,"86"
2023,38030,cp2_bnu_85,"2169"
2023,31041,cp2_bnu_85,"999"
2023,38560,cp2_bnu_85,"152"
2023,36660,cp2_bnu_85,"186"
2023,37550,cp2_bnu_85,"118"
2023,34540,cp2_bnu_85,"192"
2023,34580,cp2_bnu_85,"186"
2023,34040,cp2_bnu_85,"1582"
2023,31170,cp2_bnu_85,"734"
2023,21110,cp2_bnu_85,"1187"
2023,37011,cp2_bnu_85,"1165"
2023,33550,cp2_bnu_85,"317"
2023,35570,cp2_bnu_85,"238"
2023,34080,cp2_bnu_85,"829"
2023,32030,cp2_bnu_85,"1305"
2023,22010,cp2_bnu_85,"868"
2023,23070,cp2_bnu_85,"1047"
2023,31220,cp2_bnu_85,"881"
2023,35560,cp2_bnu_85,"101"
2023,31021,cp2_bnu_85,"1138"
2023,31210,cp2_bnu_85,"1082"
2023,11210,cp2_bnu_85,"1658"
2023,32540,cp2_bnu_85,"179"
2023,23050,cp2_bnu_85,"2225"
2023,38590,cp2_bnu_85,"344"
2023,33530,cp2_bnu_85,"157"
2023,36560,cp2_bnu_85,"123"
2023,11100,cp2_bnu_85,"1204"
2023,11230,cp2_bnu_85,"5486"
2023,25020,cp2_bnu_85,"1057"
2023,22060,cp2_bnu_85,"3713"
2023,31053,cp2_bnu_85,"391"
2023,34012,cp2_bnu_85,"2397"
2023,31240,cp2_bnu_85,"5989"
2023,34060,cp2_bnu_85,"493"
2023,31080,cp2_bnu_85,"350"
2023,34050,cp2_bnu_85,"848"
2023,31200,cp2_bnu_85,"2499"
2023,33041,cp2_bnu_85,"1072"
2023,24010,cp2_bnu_85,"723"
2023,37100,cp2_bnu_85,"1394"
2023,11030,cp2_bnu_85,"915"
2023,21090,cp2_bnu_85,"2484"
2023,25010,cp2_bnu_85,"828"
2023,36590,cp2_bnu_85,"127"
2023,22070,cp2_bnu_85,"3021"
2023,31140,cp2_bnu_85,"1088"
2023,11110,cp2_bnu_85,"2668"
2023,34560,cp2_bnu_85,"490"
2023,38100,cp2_bnu_85,"1990"
2023,11050,cp2_bnu_85,"1489"
2023,32590,cp2_bnu_85,"148"
2023,38060,cp2_bnu_85,"512"
2023,24020,cp2_bnu_85,"1698"
2023,31104,cp2_bnu_85,"1914"
2023,31230,cp2_bnu_85,"3046"
2023,36030,cp2_bnu_85,"1587"
2023,38510,cp2_bnu_85,"80"
2023,34011,cp2_bnu_85,"1281"
2023,35060,cp2_bnu_85,"313"
2023,37630,cp2_bnu_85,"29"
2023,11010,cp2_bnu_85,"1088"
2023,36600,cp2_bnu_85,"231"
2023,21080,cp2_bnu_85,"1209"
2023,23510,cp2_bnu_85,"226"
2023,32070,cp2_bnu_85,"272"
2023,36610,cp2_bnu_85,"163"
2023,31070,cp2_bnu_85,"2588"
2023,32010,cp2_bnu_85,"1620"
2023,32520,cp2_bnu_85,"176"
2023,31092,cp2_bnu_85,"1419"
2023,21050,cp2_bnu_85,"1796"
2023,11060,cp2_bnu_85,"1414"
2023,36650,cp2_bnu_85,"122"
2023,32600,cp2_bnu_85,"113"
2023,38570,cp2_bnu_85,"109"
2023,33580,cp2_bnu_85,"97"
2023,21040,cp2_bnu_85,"372"
2023,31160,cp2_bnu_85,"1414"
2023,24030,cp2_bnu_85,"1468"
2023,34020,cp2_bnu_85,"420"
2023,33520,cp2_bnu_85,"98"
2023,31110,cp2_bnu_85,"459"
2023,26040,cp2_bnu_85,"1212"
2023,31012,cp2_bnu_85,"1711"
2023,31280,cp2_bnu_85,"434"
2023,34570,cp2_bnu_85,"275"
2023,31150,cp2_bnu_85,"2665"
2023,38600,cp2_bnu_85,"130"
2023,26030,cp2_bnu_85,"691"
2023,25040,cp2_bnu_85,"2340"
2023,37030,cp2_bnu_85,"683"
2023,36580,cp2_bnu_85,"126"
2023,37560,cp2_bnu_85,"148"
2023,36520,cp2_bnu_85,"89"
2023,36040,cp2_bnu_85,"611"
2023,32510,cp2_bnu_85,"269"
2023,35550,cp2_bnu_85,"92"
2023,34510,cp2_bnu_85,"170"
2023,31011,cp2_bnu_85,"1489"
2023,11130,cp2_bnu_85,"1501"
2023,26010,cp2_bnu_85,"1132"
2023,31193,cp2_bnu_85,"2467"
2023,31120,cp2_bnu_85,"1056"
2023,35040,cp2_bnu_85,"529"
2023,35011,cp2_bnu_85,"2191"
2023,37530,cp2_bnu_85,"70"
2023,31550,cp2_bnu_85,"132"
2023,35580,cp2_bnu_85,"170"
2023,37070,cp2_bnu_85,"346"
2023,38070,cp2_bnu_85,"3266"
2023,37590,cp2_bnu_85,"469"
2023,22510,cp2_bnu_85,"1300"
2023,11180,cp2_bnu_85,"976"
2023,32550,cp2_bnu_85,"119"
2023,11090,cp2_bnu_85,"924"
2023,38080,cp2_bnu_85,"418"
2023,34070,cp2_bnu_85,"299"
2023,25050,cp2_bnu_85,"699"
2023,22030,cp2_bnu_85,"507"
2023,35510,cp2_bnu_85,"500"
2023,33030,cp2_bnu_85,"623"
2023,36510,cp2_bnu_85,"143"
2023,32060,cp2_bnu_85,"431"
2023,29010,cp2_bnu_85,"3215"
2023,37060,cp2_bnu_85,"477"
2023,39020,cp2_bnu_85,"1089"
2023,21020,cp2_bnu_85,"438"
2023,23060,cp2_bnu_85,"1937"
2023,31130,cp2_bnu_85,"3717"
2023,35050,cp2_bnu_85,"319"
2023,11080,cp2_bnu_85,"1952"
2023,32560,cp2_bnu_85,"239"
2023,11240,cp2_bnu_85,"3407"
2023,32050,cp2_bnu_85,"203"
2023,21070,cp2_bnu_85,"1278"
2023,23520,cp2_bnu_85,"54"
2023,36010,cp2_bnu_85,"1101"
2023,31030,cp2_bnu_85,"2170"
2023,11160,cp2_bnu_85,"2707"
2023,33570,cp2_bnu_85,"277"
2023,37050,cp2_bnu_85,"2424"
2023,34030,cp2_bnu_85,"431"
2023,31101,cp2_bnu_85,"2639"
2023,26510,cp2_bnu_85,"1033"
2023,32570,cp2_bnu_85,"107"
2023,23010,cp2_bnu_85,"741"
2023,31191,cp2_bnu_85,"1224"
2023,31042,cp2_bnu_85,"2281"
2023,32530,cp2_bnu_85,"168"
2023,38112,cp2_bnu_85,"1767"
2023,32020,cp2_bnu_85,"2064"
2023,34530,cp2_bnu_85,"190"
2023,11020,cp2_bnu_85,"689"
2023,37020,cp2_bnu_85,"1191"
2023,36620,cp2_bnu_85,"517"
2023,11190,cp2_bnu_85,"1808"
2023,33042,cp2_bnu_85,"1020"
2023,38540,cp2_bnu_85,"198"
2023,37080,cp2_bnu_85,"425"
2023,25030,cp2_bnu_85,"3028"
2023,24050,cp2_bnu_85,"2191"
2023,31570,cp2_bnu_85,"249"
2023,37610,cp2_bnu_85,"79"
2023,31091,cp2_bnu_85,"1174"
2023,35012,cp2_bnu_85,"1977"
2023,35520,cp2_bnu_85,"76"
2023,21130,cp2_bnu_85,"1041"
2023,23020,cp2_bnu_85,"179"
2023,35030,cp2_bnu_85,"1377"
2023,33590,cp2_bnu_85,"144"
2023,31260,cp2_bnu_85,"1135"
2023,37040,cp2_bnu_85,"862"
2023,34550,cp2_bnu_85,"97"
2023,35020,cp2_bnu_85,"1328"
2023,21030,cp2_bnu_85,"321"
2023,32040,cp2_bnu_85,"458"
2023,21510,cp2_bnu_85,"1081"
2023,39010,cp2_bnu_85,"3129"
2023,38030760,cp2_bnu_85,"333"
2023,35060440,cp2_bnu_85,N/A
2023,38560110,cp2_bnu_85,"53"
2023,11200660,cp2_bnu_85,"34"
2023,11250700,cp2_bnu_85,N/A
2023,31160540,cp2_bnu_85,"71"
2023,25010650,cp2_bnu_85,"49"
2023,38113660,cp2_bnu_85,"96"
2023,11120650,cp2_bnu_85,"78"
2023,36590350,cp2_bnu_85,"7"
2023,37520440,cp2_bnu_85,"6"
2023,31110521,cp2_bnu_85,"39"
2023,11140730,cp2_bnu_85,"160"
2023,31080550,cp2_bnu_85,"8"
2023,38050330,cp2_bnu_85,"220"
2023,34020370,cp2_bnu_85,"11"
2023,22020710,cp2_bnu_85,"53"
2023,31240640,cp2_bnu_85,"460"
2023,21040660,cp2_bnu_85,"37"
2023,32010370,cp2_bnu_85,"19"
2023,31021550,cp2_bnu_85,"34"
2023,23050570,cp2_bnu_85,"64"
2023,32010340,cp2_bnu_85,"94"
2023,31091710,cp2_bnu_85,"60"
2023,33590310,cp2_bnu_85,N/A
2023,35011660,cp2_bnu_85,"285"
2023,38060350,cp2_bnu_85,"10"
2023,34530340,cp2_bnu_85,N/A
2023,33020560,cp2_bnu_85,"22"
2023,36620360,cp2_bnu_85,"8"
2023,37050310,cp2_bnu_85,N/A
2023,38600400,cp2_bnu_85,N/A
2023,11150570,cp2_bnu_85,"51"
2023,36680350,cp2_bnu_85,"5"
2023,32030550,cp2_bnu_85,"277"
2023,31023610,cp2_bnu_85,"109"
2023,32020310,cp2_bnu_85,"16"
2023,22070610,cp2_bnu_85,"92"
2023,11170710,cp2_bnu_85,"71"
2023,31021670,cp2_bnu_85,"59"
2023,11240750,cp2_bnu_85,"79"
2023,34540320,cp2_bnu_85,N/A
2023,31060620,cp2_bnu_85,"91"
2023,11140780,cp2_bnu_85,"137"
2023,38100310,cp2_bnu_85,"224"
2023,37590310,cp2_bnu_85,"13"
2023,31023710,cp2_bnu_85,"186"
2023,23060510,cp2_bnu_85,"187"
2023,37060390,cp2_bnu_85,N/A
2023,31200390,cp2_bnu_85,N/A
2023,11080820,cp2_bnu_85,"150"
2023,22060670,cp2_bnu_85,"163"
2023,11040690,cp2_bnu_85,"23"
2023,38530330,cp2_bnu_85,"8"
2023,32010330,cp2_bnu_85,"7"
2023,23010670,cp2_bnu_85,"16"
2023,32550340,cp2_bnu_85,"9"
2023,22060590,cp2_bnu_85,"142"
2023,11220620,cp2_bnu_85,"131"
2023,34020590,cp2_bnu_85,"77"
2023,34510390,cp2_bnu_85,"18"
2023,38580390,cp2_bnu_85,"5"
2023,36010770,cp2_bnu_85,"175"
2023,38540430,cp2_bnu_85,"12"
2023,11020680,cp2_bnu_85,"46"
2023,11140750,cp2_bnu_85,"132"
2023,31103560,cp2_bnu_85,"344"
2023,31200511,cp2_bnu_85,"53"
2023,31052561,cp2_bnu_85,"143"
2023,29010390,cp2_bnu_85,"9"
2023,31070650,cp2_bnu_85,"359"
2023,22040610,cp2_bnu_85,"48"
2023,35050420,cp2_bnu_85,"7"
2023,25010550,cp2_bnu_85,"46"
2023,11180530,cp2_bnu_85,"49"
2023,25020690,cp2_bnu_85,"53"
2023,23080580,cp2_bnu_85,"38"
2023,31140530,cp2_bnu_85,"78"
2023,37610350,cp2_bnu_85,"6"
2023,34050550,cp2_bnu_85,"203"
2023,24040710,cp2_bnu_85,"119"
2023,23020570,cp2_bnu_85,N/A
2023,11190560,cp2_bnu_85,"211"
2023,37600430,cp2_bnu_85,N/A
2023,25010600,cp2_bnu_85,"42"
2023,21090620,cp2_bnu_85,"53"
2023,23050760,cp2_bnu_85,"244"
2023,34011360,cp2_bnu_85,"19"
2023,11210570,cp2_bnu_85,"121"
2023,22050520,cp2_bnu_85,"115"
2023,34580330,cp2_bnu_85,"6"
2023,22070780,cp2_bnu_85,"284"
2023,11040730,cp2_bnu_85,"134"
2023,11060720,cp2_bnu_85,"55"
2023,24030680,cp2_bnu_85,"77"
2023,11020650,cp2_bnu_85,"24"
2023,31220350,cp2_bnu_85,"55"
2023,21080560,cp2_bnu_85,"28"
2023,11130750,cp2_bnu_85,"248"
2023,34580310,cp2_bnu_85,N/A
2023,31060660,cp2_bnu_85,"185"
2023,11120660,cp2_bnu_85,"78"
2023,38510310,cp2_bnu_85,"8"
2023,38060550,cp2_bnu_85,"123"
2023,22520314,cp2_bnu_85,N/A
2023,36020670,cp2_bnu_85,"110"
2023,24040510,cp2_bnu_85,"17"
2023,34510330,cp2_bnu_85,N/A
2023,21150570,cp2_bnu_85,"79"
2023,23070510,cp2_bnu_85,"87"
2023,31550330,cp2_bnu_85,"5"
2023,34012550,cp2_bnu_85,"138"
2023,11240780,cp2_bnu_85,"26"
2023,39010310,cp2_bnu_85,"40"
2023,32010110,cp2_bnu_85,"16"
2023,11020720,cp2_bnu_85,"70"
2023,31230110,cp2_bnu_85,"80"
2023,11230640,cp2_bnu_85,"629"
2023,24040670,cp2_bnu_85,"22"
2023,39010130,cp2_bnu_85,"62"
2023,37090590,cp2_bnu_85,"32"
2023,35040110,cp2_bnu_85,"25"
2023,32020340,cp2_bnu_85,"5"
2023,39010320,cp2_bnu_85,N/A
2023,38115570,cp2_bnu_85,"39"
2023,36040520,cp2_bnu_85,"6"
2023,31160550,cp2_bnu_85,"115"
2023,11220580,cp2_bnu_85,"69"
2023,32530400,cp2_bnu_85,"9"
2023,11210660,cp2_bnu_85,"66"
2023,11180520,cp2_bnu_85,"158"
2023,31260540,cp2_bnu_85,"100"
2023,25020510,cp2_bnu_85,"112"
2023,25020650,cp2_bnu_85,"70"
2023,11050630,cp2_bnu_85,"189"
2023,31013710,cp2_bnu_85,"153"
2023,11240580,cp2_bnu_85,"141"
2023,26030610,cp2_bnu_85,"116"
2023,35050440,cp2_bnu_85,N/A
2023,37030580,cp2_bnu_85,"122"
2023,31011620,cp2_bnu_85,"444"
2023,36610120,cp2_bnu_85,"74"
2023,37100560,cp2_bnu_85,"46"
2023,33530110,cp2_bnu_85,"114"
2023,31250380,cp2_bnu_85,"13"
2023,37020120,cp2_bnu_85,"86"
2023,31104520,cp2_bnu_85,"55"
2023,37070350,cp2_bnu_85,"7"
2023,34570120,cp2_bnu_85,"47"
2023,32010650,cp2_bnu_85,"29"
2023,23080590,cp2_bnu_85,"30"
2023,23520370,cp2_bnu_85,"11"
2023,31230640,cp2_bnu_85,"191"
2023,21100640,cp2_bnu_85,"40"
2023,32590310,cp2_bnu_85,"14"
2023,11080650,cp2_bnu_85,"84"
2023,11170540,cp2_bnu_85,"224"
2023,31023640,cp2_bnu_85,"116"
2023,38080380,cp2_bnu_85,"5"
2023,11040680,cp2_bnu_85,"112"
2023,23020640,cp2_bnu_85,"26"
2023,32030110,cp2_bnu_85,"58"
2023,22030520,cp2_bnu_85,"15"
2023,11110720,cp2_bnu_85,"92"
2023,32580110,cp2_bnu_85,"76"
2023,37012660,cp2_bnu_85,"62"
2023,11090630,cp2_bnu_85,"48"
2023,31150690,cp2_bnu_85,"69"
